band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up_band,tau_down_band,path_radiance_band_W_m2_sr_um,sky_radiance_band_W_m2_sr_um,path_scattering_radiance_band_W_m2_sr_um,solar_irradiance_band_W_m2_um,unit_status,integration_method,source_case_ids
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,1,45,0.7204652336,0.57325377,0.1275239425,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng1_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,1,45,0.7204652336,0.57325377,0.1275239425,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng1_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,1,45,0.7204652336,0.57325377,0.1275239425,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng1_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,1,45,0.7204652336,0.57325377,0.1275239425,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng1_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,1,45,0.7206900403,0.5734693103,0.1274600328,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng1_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,2,45,0.6960838391,0.57325377,0.0421581473,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,2,45,0.6960838391,0.57325377,0.0421581473,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,2,45,0.6960838391,0.57325377,0.0421581473,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,2,45,0.6960838391,0.57325377,0.0421581473,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,2,45,0.6965172937,0.5734693103,0.04215223816,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis50_aerRural_humdefault_sza45
