T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000  10.00000  90.08361  20.00045   0.17958   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  45.00533   0.00000 180.00000   0.00000   0.70000
    9091.0   14286.0       1.0       1.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.96145231 2.5057E-26 0.0000E+00 0.0000E+00 2.9319E-09 2.9319E-09 0.0000E+00 0.0000E+00 2.9319E-09 6.60E-06 6.86E-06   0.039 1.0000 6.9114E-06    669.518
 9092.00 0.97588122 1.5587E-26 0.0000E+00 0.0000E+00 2.9591E-09 2.9591E-09 0.0000E+00 0.0000E+00 2.9591E-09 6.70E-06 6.87E-06   0.024 1.0000 6.9124E-06    669.896
 9093.00 0.92960787 4.5230E-26 0.0000E+00 0.0000E+00 2.8845E-09 2.8845E-09 0.0000E+00 0.0000E+00 2.8845E-09 6.40E-06 6.86E-06   0.073 1.0000 6.9376E-06    669.084
 9094.00 0.98226464 1.1330E-26 0.0000E+00 0.0000E+00 2.9827E-09 2.9827E-09 0.0000E+00 0.0000E+00 2.9827E-09 6.77E-06 6.90E-06   0.018 1.0000 6.9366E-06    670.294
 9095.00 0.97638959 1.4996E-26 0.0000E+00 0.0000E+00 2.9828E-09 2.9828E-09 0.0000E+00 0.0000E+00 2.9828E-09 6.75E-06 6.91E-06   0.024 1.0000 6.9579E-06    670.357
 9096.00 0.98187935 1.1443E-26 0.0000E+00 0.0000E+00 2.9980E-09 2.9980E-09 0.0000E+00 0.0000E+00 2.9980E-09 6.80E-06 6.93E-06   0.018 1.0000 6.9686E-06    670.594
 9097.00 0.98734802 7.9437E-27 0.0000E+00 0.0000E+00 2.9939E-09 2.9939E-09 0.0000E+00 0.0000E+00 2.9939E-09 6.81E-06 6.90E-06   0.013 1.0000 6.9347E-06    670.610
 9098.00 0.97542894 1.5338E-26 0.0000E+00 0.0000E+00 2.9629E-09 2.9629E-09 0.0000E+00 0.0000E+00 2.9629E-09 6.70E-06 6.86E-06   0.025 1.0000 6.9076E-06    670.314
 9099.00 0.98182029 1.1283E-26 0.0000E+00 0.0000E+00 2.9508E-09 2.9508E-09 0.0000E+00 0.0000E+00 2.9508E-09 6.69E-06 6.81E-06   0.018 1.0000 6.8514E-06    670.237
 9100.00 0.96433187 2.2008E-26 0.0000E+00 0.0000E+00 2.9039E-09 2.9039E-09 0.0000E+00 0.0000E+00 2.9039E-09 6.52E-06 6.76E-06   0.036 1.0000 6.8097E-06    669.750
 9101.00 0.98150271 1.1348E-26 0.0000E+00 0.0000E+00 2.8845E-09 2.8845E-09 0.0000E+00 0.0000E+00 2.8845E-09 6.53E-06 6.65E-06   0.019 1.0000 6.6935E-06    669.582
 9102.00 0.98700237 7.9281E-27 0.0000E+00 0.0000E+00 2.8839E-09 2.8839E-09 0.0000E+00 0.0000E+00 2.8839E-09 6.55E-06 6.63E-06   0.013 1.0000 6.6683E-06    669.637
 9103.00 0.97818971 1.3226E-26 0.0000E+00 0.0000E+00 2.8233E-09 2.8233E-09 0.0000E+00 0.0000E+00 2.8233E-09 6.38E-06 6.52E-06   0.022 1.0000 6.5588E-06    668.972
 9104.00 0.98735631 7.6235E-27 0.0000E+00 0.0000E+00 2.8132E-09 2.8132E-09 0.0000E+00 0.0000E+00 2.8132E-09 6.38E-06 6.46E-06   0.013 1.0000 6.4988E-06    668.913
 9105.00 0.98733681 7.5911E-27 0.0000E+00 0.0000E+00 2.8181E-09 2.8181E-09 0.0000E+00 0.0000E+00 2.8181E-09 6.39E-06 6.47E-06   0.013 1.0000 6.5075E-06    669.034
 9106.00 0.97920781 1.2392E-26 0.0000E+00 0.0000E+00 2.8562E-09 2.8562E-09 0.0000E+00 0.0000E+00 2.8562E-09 6.45E-06 6.58E-06   0.021 1.0000 6.6237E-06    669.555
 9107.00 0.97812819 1.2961E-26 0.0000E+00 0.0000E+00 2.8809E-09 2.8809E-09 0.0000E+00 0.0000E+00 2.8809E-09 6.50E-06 6.64E-06   0.022 1.0000 6.6828E-06    669.913
 9108.00 0.96168405 2.2573E-26 0.0000E+00 0.0000E+00 2.8970E-09 2.8970E-09 0.0000E+00 0.0000E+00 2.8970E-09 6.48E-06 6.73E-06   0.039 1.0000 6.7826E-06    670.166
 9109.00 0.98032892 1.1522E-26 0.0000E+00 0.0000E+00 2.9851E-09 2.9851E-09 0.0000E+00 0.0000E+00 2.9851E-09 6.73E-06 6.87E-06   0.020 1.0000 6.9105E-06    671.257
 9110.00 0.98508751 8.6846E-27 0.0000E+00 0.0000E+00 3.0041E-09 3.0041E-09 0.0000E+00 0.0000E+00 3.0041E-09 6.79E-06 6.89E-06   0.015 1.0000 6.9327E-06    671.538
