info :20260826T183133:0033:main.cpp:dds_dec version : v1.0
info :20260826T183133:0034:main.cpp:build time     : Aug 26 2026-18:30:27
info :20260826T183133:0051:main.cpp:dds_dec 启动完成: 等待 H264 数据 (域 80, 主题 USEDATATYPE)
info :20260826T183133:0160:decode_thread.cpp:DecodeThread: 启动, 等待 H264 数据...
info :20260826T183133:0094:dds_sub_thread.cpp:DdsSubThread: 等待 H264 数据 ...
info :20260826T183136:0088:dds_pub_thread.cpp:DdsPubThread: 开始发布灰度图 ...
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
warn :20260826T183231:0100:decode_thread.cpp:灰度图 960x408 超 DDS 上限, 缩放为 277x118
