Time(ms),distanceDAM_RTState(m),RedLat(degree),RedLon(degree),RedAlt(m),RedYaw(degree),RedPitch(degree),RedRoll(degree),RedSpeedAir(km/h),RedFlyOverLoad,MissileLat(degree),MissileLon(degree),MissileAlt(m),MissileYaw(degree),MissilePitch(degree),MissileRoll(degree),MissileSpeedAir(km/h),MissileType,RedFlyOverLoadX,RedFlyOverLoadY,RedFlyOverLoadZ,distanceFF(m),AA,AA,AA,AA,RedPlatAttackAngle(degree),RedFlySideslipAng(degree),strickenFlag,damageFlag,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,synAngRat(degree/s),thetaAngRat(degree/s),phiAngRat(degree/s),synAng_Acc(degree/s^2),thetaAng_Acc(degree/s^2),phiAng_Acc(degree/s^2),PlatOverLoadX,PlatOverLoadY,PlatOverLoadZ,coeT,AA,AA,ViewValid,TrackingState,HitState,OPDrms,AA,AA,TargetLatFake(degree),TargetLonFake(degree),TargetAltFake(m),ladarType
20,600.000,39.994604,100.000000,1000.000,0,0,0,277.693,0.879,40.000000,100.000000,1000.000,180,0,0,152.761,0,-0.443306,-8.33E-06,0.759169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443306,-8.33E-06,0.759169,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
30,600.000,39.994604,100.000000,1000.000,0,-0.001,0,277.713,0.788,40.000000,100.000000,1000.000,180,0,0,152.802,0,-0.011254,0.000876177,0.788149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011254,0.000876177,0.788149,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
40,600.000,39.994604,100.000000,1000.000,360,-0.002,0,277.739,0.822,40.000000,100.000000,1000.000,180,-0.001,0,152.859,0,0.172751,0.000757476,0.803424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172751,0.000757476,0.803424,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
50,600.000,39.994604,100.000000,1000.000,360,-0.003,-0.001,277.755,0.838,40.000000,100.000000,1000.000,180,-0.001,0,152.906,0,0.16176,0.000640206,0.821788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16176,0.000640206,0.821788,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
60,600.000,39.994604,100.000000,1000.000,360,-0.002,-0.001,277.769,0.855,40.000000,100.000000,1000.000,180,-0.002,0,152.952,0,0.150876,0.000571018,0.841977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150876,0.000571018,0.841977,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
70,600.000,39.994604,100.000000,1000.000,360,0,-0.002,277.782,0.876,40.000000,100.000000,1000.000,180,-0.003,0,152.999,0,0.140051,0.000504061,0.86425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140051,0.000504061,0.86425,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
80,600.000,39.994604,100.000000,1000.000,360,0.003,-0.003,277.796,0.87,40.000000,100.000000,1000.000,180,-0.003,0,153.045,0,0.143701,0.000441568,0.857678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143701,0.000441568,0.857678,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
90,600.000,39.994604,100.000000,1000.000,360,0.008,-0.004,277.811,0.863,40.000000,100.000000,1000.000,180,-0.004,0,153.092,0,0.147336,0.000383364,0.850295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147336,0.000383364,0.850295,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,1
100,600.000,39.994604,100.000000,1000.000,360,0.014,-0.005,277.826,0.855,40.000000,100.000000,1000.000,180,-0.005,0,153.138,0,0.150971,0.000329251,0.841723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150971,0.000329251,0.841723,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
110,600.000,39.994604,100.000000,1000.000,360,0.02,-0.006,277.84,0.86,40.000000,100.000000,1000.000,180,-0.006,0,153.185,0,0.147392,0.000278876,0.847331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147392,0.000278876,0.847331,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
120,600.000,39.994604,100.000000,1000.000,360,0.027,-0.008,277.854,0.871,40.000000,100.000000,1000.000,180,-0.007,0,153.231,0,0.140825,0.000232037,0.859507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140825,0.000232037,0.859507,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
130,600.000,39.994604,100.000000,1000.000,360,0.034,-0.01,277.833,0.867,40.000000,100.000000,1000.000,180,-0.008,0,153.278,0,-0.0950617,0.000188608,0.861745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0950617,0.000188608,0.861745,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
140,600.000,39.994604,100.000000,1000.000,360,0.041,-0.011,277.823,0.863,40.000000,100.000000,1000.000,180,-0.009,0,153.324,0,-0.0971776,0.000148313,0.857367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0971776,0.000148313,0.857367,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
150,600.000,39.994604,100.000000,1000.000,359.999,0.049,-0.013,277.813,0.865,40.000000,100.000000,1000.000,180,-0.01,0,153.371,0,-0.102427,0.000110947,0.85885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102427,0.000110947,0.85885,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
160,600.000,39.994604,100.000000,1000.000,359.999,0.057,-0.015,277.801,0.875,40.000000,100.000000,1000.000,180,-0.011,0,153.418,0,-0.109662,7.63E-05,0.868451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109662,7.63E-05,0.868451,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
170,600.000,39.994604,100.000000,1000.000,359.999,0.065,-0.017,277.79,0.882,40.000000,100.000000,1000.000,180,-0.012,0,153.464,0,-0.113464,4.42E-05,0.874908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113464,4.42E-05,0.874908,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
180,600.000,39.994604,100.000000,1000.000,359.999,0.072,-0.019,277.779,0.882,40.000000,100.000000,1000.000,180,-0.013,0,153.511,0,-0.11388,1.46E-05,0.874292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11388,1.46E-05,0.874292,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
190,600.000,39.994604,100.000000,1000.000,359.999,0.08,-0.022,277.767,0.883,40.000000,100.000000,1000.000,180,-0.015,0,153.558,0,-0.115244,-1.27E-05,0.875178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115244,-1.27E-05,0.875178,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
