Time(ms),distanceDAM_RTState(m),RedLat(degree),RedLon(degree),RedAlt(m),RedYaw(degree),RedPitch(degree),RedRoll(degree),RedSpeedAir(km/h),RedFlyOverLoad,MissileLat(degree),MissileLon(degree),MissileAlt(m),MissileYaw(degree),MissilePitch(degree),MissileRoll(degree),MissileSpeedAir(km/h),MissileType,RedFlyOverLoadX,RedFlyOverLoadY,RedFlyOverLoadZ,distanceFF(m),AA,AA,AA,AA,RedPlatAttackAngle(degree),RedFlySideslipAng(degree),strickenFlag,damageFlag,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,synAngRat(degree/s),thetaAngRat(degree/s),phiAngRat(degree/s),synAng_Acc(degree/s^2),thetaAng_Acc(degree/s^2),phiAng_Acc(degree/s^2),PlatOverLoadX,PlatOverLoadY,PlatOverLoadZ,coeT,AA,AA,ViewValid,TrackingState,HitState,OPDrms,AA,AA,TargetLatFake(degree),TargetLonFake(degree),TargetAltFake(m),ladarType
20,22269.183093901,40.00005,100,11000.04785,0,0,0,39.962242825,0.879,40.199973,99.99,10000.05371,180,0,0,21.983529207,0,-0.443306,-0.00000833,0.759169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443306,-0.00000833,0.759169,1,0,0,0,0,0,0,0,0,40.19982055,99.98973759,10023.80185,1
36.666666667,22268.144791857,40.000055996,100,11000.047617349,0,-0.000239847,0,39.962933142,0.857173954,40.199969642,99.99,10000.053242299,180,0,0,21.984944357,0,-0.339679772,0.000203816,0.766119756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.339679772,0.000203816,0.766119756,1,0,0,0,0,0,0,0,0,40.199817259,99.989737604,10023.800355755,1
53.333333333,22267.106489982,40.000061992,100,11000.047384697,0,-0.000479693,0,39.963623459,0.835347908,40.199966284,99.99,10000.052774598,180,0,0,21.986359507,0,-0.236053543,0.000415962,0.773070512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236053543,0.000415962,0.773070512,1,0,0,0,0,0,0,0,0,40.199813969,99.989737619,10023.798861511,1
70,22266.068188278,40.000067988,100,11000.047152046,0,-0.00071954,0,39.964313776,0.813521862,40.199962926,99.99,10000.052306897,180,0,0,21.987774657,0,-0.132427315,0.000628108,0.780021268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132427315,0.000628108,0.780021268,1,0,0,0,0,0,0,0,0,40.199810678,99.989737633,10023.797367266,1
86.666666667,22265.029886743,40.000073985,100,11000.046919395,0,-0.000959387,0,39.965004093,0.791695816,40.199959569,99.99,10000.051839196,180,0,0,21.989189807,0,-0.028801087,0.000840254,0.786972025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028801087,0.000840254,0.786972025,1,0,0,0,0,0,0,0,0,40.199807387,99.989737648,10023.795873021,1
103.333333333,22263.991602828,40.000079981,100,11000.04688,0,-0.001199233,0,39.965866437,0.794773932,40.199956211,99.99,10000.051176246,180,-0.000199233,0,21.991063697,0,0.025405922,0.000852528,0.791192289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025405922,0.000852528,0.791192289,1,0,0,0,0,0,0,0,0,40.199804095,99.98973766,10023.794165597,1
120,22262.953322641,40.000085977,100,11000.04688,0,-0.00143908,0,39.966763849,0.802928718,40.199952853,99.99,10000.050473496,180,-0.00043908,0,21.993031101,0,0.069538906,0.000824058,0.794855946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069538906,0.000824058,0.794855946,1,0,0,0,0,0,0,0,0,40.199800801,99.989737672,10023.792414716,1
136.666666667,22261.915042628,40.000091973,100,11000.04688,0,-0.001678927,0,39.967661262,0.811083505,40.199949495,99.99,10000.049770745,180,-0.000678927,0,21.994998504,0,0.11367189,0.000795588,0.798519604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11367189,0.000795588,0.798519604,1,0,0,0,0,0,0,0,0,40.199797508,99.989737684,10023.790663836,1
153.333333333,22260.876762785,40.000097969,100,11000.04688,0,-0.001918773,0,39.968558674,0.819238291,40.199946137,99.99,10000.049067994,180,-0.000918773,0,21.996965908,0,0.157804875,0.000767118,0.802183262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157804875,0.000767118,0.802183262,1,0,0,0,0,0,0,0,0,40.199794215,99.989737696,10023.788912955,1
170,22259.838476131,40.000103965,100,11000.046724552,0,-0.00215862,-0.00015862,39.969227819,0.824537919,40.199942779,99.99,10000.048365244,180,-0.001,0,21.998705044,0,0.171007608,0.000738875,0.806336896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171007608,0.000738875,0.806336896,1,0,0,0,0,0,0,0,0,40.199790922,99.989737708,10023.787150971,1
