Time(ms),distanceDAM_RTState(m),RedLat(degree),RedLon(degree),RedAlt(m),RedYaw(degree),RedPitch(degree),RedRoll(degree),RedSpeedAir(km/h),RedFlyOverLoad,MissileLat(degree),MissileLon(degree),MissileAlt(m),MissileYaw(degree),MissilePitch(degree),MissileRoll(degree),MissileSpeedAir(km/h),MissileType,RedFlyOverLoadX,RedFlyOverLoadY,RedFlyOverLoadZ,distanceFF(m),AA,AA,AA,AA,RedPlatAttackAngle(degree),RedFlySideslipAng(degree),strickenFlag,damageFlag,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,synAngRat(degree/s),thetaAngRat(degree/s),phiAngRat(degree/s),synAng_Acc(degree/s^2),thetaAng_Acc(degree/s^2),phiAng_Acc(degree/s^2),PlatOverLoadX,PlatOverLoadY,PlatOverLoadZ,coeT,AA,AA,ViewValid,TrackingState,HitState,OPDrms,AA,AA,TargetLatFake(degree),TargetLonFake(degree),TargetAltFake(m),ladarType
20,22274.208,40.00005,100,11000.04785,0,0,0,277.693,0.879,40.199973,99.99,10000.05371,180,0,0,152.761,0,-0.443306,-8.33E-06,0.759169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443306,-8.33E-06,0.759169,1,0,0,0,0,0,0,0,0,40.19982055,99.98973759,10023.80185,1
30,22269.916,40.000075,100,11000.04688,0,-0.001,0,277.713,0.788,40.199959,99.99,10000.05176,180,0,0,152.802,0,-0.011254,0.000876177,0.788149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011254,0.000876177,0.788149,1,0,0,0,0,0,0,0,0,40.19980683,99.98973765,10023.79562,1
40,22265.623,40.0001,100,11000.04688,360,-0.002,0,277.739,0.822,40.199945,99.99,10000.04883,180,-0.001,0,152.859,0,0.172751,0.000757476,0.803424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172751,0.000757476,0.803424,1,0,0,0,0,0,0,0,0,40.1997931,99.9897377,10023.78832,1
50,22261.329,40.000125,100,11000.0459,360,-0.003,-0.001,277.755,0.838,40.199931,99.99,10000.0459,180,-0.001,0,152.906,0,0.16176,0.000640206,0.821788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16176,0.000640206,0.821788,1,0,0,0,0,0,0,0,0,40.19977937,99.98973775,10023.78095,1
60,22257.035,40.00015,100,11000.04492,360,-0.002,-0.001,277.769,0.855,40.199918,99.99,10000.04102,180,-0.002,0,152.952,0,0.150876,0.000571018,0.841977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150876,0.000571018,0.841977,1,0,0,0,0,0,0,0,0,40.19976563,99.9897378,10023.77153,1
70,22252.74,40.000175,100,11000.04297,360,0,-0.002,277.782,0.876,40.199904,99.99,10000.03613,180,-0.003,0,152.999,0,0.140051,0.000504061,0.86425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140051,0.000504061,0.86425,1,0,0,0,0,0,0,0,0,40.19975189,99.98973785,10023.76203,1
80,22248.445,40.0002,100,11000.04199,360,0.003,-0.003,277.796,0.87,40.19989,99.99,10000.03027,180,-0.003,0,153.045,0,0.143701,0.000441568,0.857678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143701,0.000441568,0.857678,1,0,0,0,0,0,0,0,0,40.19973815,99.9897379,10023.75146,1
90,22244.149,40.000224,100,11000.04102,360,0.008,-0.004,277.811,0.863,40.199876,99.99,10000.02441,180,-0.004,0,153.092,0,0.147336,0.000383364,0.850295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147336,0.000383364,0.850295,1,0,0,0,0,0,0,0,0,40.1997244,99.98973795,10023.7408,1
100,22239.852,40.000249,100,11000.03906,360,0.014,-0.005,277.826,0.855,40.199863,99.99,10000.0166,180,-0.005,0,153.138,0,0.150971,0.000329251,0.841723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150971,0.000329251,0.841723,1,0,0,0,0,0,0,0,0,40.20074058,99.9905009,9949.333251,2
110,22235.555,40.000274,100,11000.03711,360,0.02,-0.006,277.84,0.86,40.199849,99.99,10000.00879,180,-0.006,0,153.185,0,0.147392,0.000278876,0.847331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147392,0.000278876,0.847331,1,0,0,0,0,0,0,0,0,40.20072682,99.9905008,9949.334765,2
