schema_version,case_id,band,atmosphere_model,aerosol_model,humidity_profile,target_alt_km,visibility_km,solar_zenith_deg,direct_shortwave_solar_irradiance_W_m2,diffuse_shortwave_down_irradiance_W_m2,flux_direct_horizontal_qc_W_m2,irradiance_unit,spectral_range_um,response_mode,direct_source_field,diffuse_source_field,flux_direct_policy,raw_solar_unit,raw_flux_unit,conversion_method,source_case_ids,source_files,source_sha256
1,SWHEAT_tar3_vis5_sza20,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,5,20,1011.68989074,256.410529165,874.126011715,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20;SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20\spectral_flux.flx,ea3cfe1b518902579918c445c5cf09132e03e69c3063796b7a1287ce99117043;054bb4a14e96686ca5dceb71045b9dd80c7822519795ae29704433932aaf503d
1,SWHEAT_tar3_vis5_sza45,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,5,45,960.369205473,231.093664427,594.580110531,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45;SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza45\spectral_flux.flx,d110299541bddfb980ad26485e0c32e73f471ec6e4055f444473d21d4029d201;ccb6250ac344b1511d15b23b01736ff975d3ace36346095edf020ecbafa15911
1,SWHEAT_tar3_vis5_sza70,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,5,70,790.860624408,160.199803432,192.176449605,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza70;SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza70,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza70\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza70\spectral_flux.flx,f756b3e1ced822302069d51af69afc13f4292bad20fdd34bb80fc22e08b246ba;eae75d2ece5270221d184146d5bd9be9e031582429b2d2f1f278cb1be53e41fa
1,SWHEAT_tar3_vis23_sza20,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,23,20,1011.68989074,258.101908669,874.126011715,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis23_aerRural_humdefault_sza20;SWHEAT_flux_tar3_vis23_aerRural_humdefault_sza20,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis23_aerRural_humdefault_sza20\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis23_aerRural_humdefault_sza20\spectral_flux.flx,08b0c5ea63ea0621015243b5b3920a2ce86f404eaa385aaeec3bba516384c093;484b9b4e59b1099fff2d26a28da13b5dc2905c475d246b9aeb1169c72d4c9e45
1,SWHEAT_tar3_vis23_sza45,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,23,45,960.369205473,230.123121385,594.580110531,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis23_aerRural_humdefault_sza45;SWHEAT_flux_tar3_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis23_aerRural_humdefault_sza45\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis23_aerRural_humdefault_sza45\spectral_flux.flx,e67bed0356497d9680ed94cb53736945055cb4a2486bc2933b8b5a498e252076;3b9160f4711baee1f3eade146f0bb557ca1183115ec72587823885ca02cb691f
1,SWHEAT_tar3_vis23_sza70,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,23,70,790.860624408,158.170400282,192.176449605,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis23_aerRural_humdefault_sza70;SWHEAT_flux_tar3_vis23_aerRural_humdefault_sza70,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis23_aerRural_humdefault_sza70\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis23_aerRural_humdefault_sza70\spectral_flux.flx,fb21753310a61ba2af2027c0ee6274ceef98545c98f35ac0092576df42773fde;75f413703de12a9af39d58c06fa52fe30aa0f8109ee2e6e44425eb426ef605df
1,SWHEAT_tar3_vis50_sza20,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,50,20,1024.6807846,248.651955823,885.343631358,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis50_aerRural_humdefault_sza20;SWHEAT_flux_tar3_vis50_aerRural_humdefault_sza20,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis50_aerRural_humdefault_sza20\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis50_aerRural_humdefault_sza20\spectral_flux.flx,2488bc2b992ede57e2f597350a73fa09df4b76d77c89a4556740702364897245;69bcc21a6b375b4690abb256deb2466512925de2e1dcaa4befb03820a53c1312
1,SWHEAT_tar3_vis50_sza45,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,50,45,976.520456757,221.523435657,604.576831076,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis50_aerRural_humdefault_sza45;SWHEAT_flux_tar3_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis50_aerRural_humdefault_sza45\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis50_aerRural_humdefault_sza45\spectral_flux.flx,b2aa89913216656208e9d354a842b83875d293a9a67e63e9b986d811d8fc674a;a7edf6f6e4809f241c5a38bde13359c5419dda1d84306e51664cf1b04e165b17
1,SWHEAT_tar3_vis50_sza70,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,3,50,70,816.769790707,153.34849408,198.476261645,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar3_vis50_aerRural_humdefault_sza70;SWHEAT_flux_tar3_vis50_aerRural_humdefault_sza70,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis50_aerRural_humdefault_sza70\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis50_aerRural_humdefault_sza70\spectral_flux.flx,07be5f56701da4c90f9eb9b0b01806af75472a5a225bf87f4fd8c234b99dd4d5;62276eabd338be9bd3e32cd159919557394a2ab809c829f7e9a349e47d6af219
1,SWHEAT_tar5_vis5_sza20,SOLAR_SHORTWAVE_0.30_2.50_UM,Mid-Latitude Summer,Rural,default,5,5,20,1095.13803771,230.368805976,946.190493312,W/m^2,0.30-2.50,BroadbandIntegral,MODOUT2 SOL TR,.flx DOWNWARD,QC_only_not_added_to_diffuse,W/(cm^2 cm^-1),W/(cm^2 nm),SOL_TR pointwise native*1e8/lambda_um^2; FLX DOWNWARD pointwise native*1e7; wavelength-domain trapezoidal integral 0.30-2.50 um,SWHEAT_direct_tar5_vis5_aerRural_humdefault_sza20;SWHEAT_flux_tar5_vis5_aerRural_humdefault_sza20,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar5_vis5_aerRural_humdefault_sza20\MODOUT2.txt;D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar5_vis5_aerRural_humdefault_sza20\spectral_flux.flx,9ec433ace5d97323e4adba4b80ce5a74fe313c231a7254b7a0c4536185fe57f5;88086f4879cef1703d5c9e42cf7ca031473baff20b2df1ed9bc6aa2d116f9935
