case_id,mode,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,input_file,input_sha256,tau_mean,path_mean_W_m2_sr_um,tau_down_mean,direct_solar_mean_W_m2_um
qc_range_1_trans,Transmittance,23.0,5.0,5.0,1.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_1_trans\qc_range_1_trans.tp5,84f0013d6ef3eceaa418b47d8ef3593a653343779c4c74c60d9ba6535fb2777f,0.7894240368200568,,,
qc_range_1_thermal,ThermalRadiance,23.0,5.0,5.0,1.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_1_thermal\qc_range_1_thermal.tp5,27565cca3c00f5a8bf48bfa4d40b89c0931781c2ed8f793bd52751f2d4d5dcf4,,0.05932370287342687,,
qc_range_10_trans,Transmittance,23.0,5.0,5.0,10.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_10_trans\qc_range_10_trans.tp5,ac704817a7ee407d472b3e34812e75f737688103b609324398d10039e450c64f,0.5738013227880596,,,
qc_range_10_thermal,ThermalRadiance,23.0,5.0,5.0,10.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_10_thermal\qc_range_10_thermal.tp5,a4cc42993735b5c8d8d4ad884ae5eda07693bbe39749f2f57b9c0ce30f56fae2,,0.1170494317230574,,
qc_range_30_trans,Transmittance,23.0,5.0,5.0,30.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_30_trans\qc_range_30_trans.tp5,aa8066bf857a61b90e9ca31ae95d1db2f5ab1e87f12ceba643d31c81d6e179c6,0.40714671503156963,,,
qc_range_30_thermal,ThermalRadiance,23.0,5.0,5.0,30.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_30_thermal\qc_range_30_thermal.tp5,0e545564bb6531ba1fee7e677dcc09a2f6c4293e13f0ec90a366dbd12fc36978,,0.16096259781045139,,
qc_range_50_trans,Transmittance,23.0,5.0,5.0,50.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_50_trans\qc_range_50_trans.tp5,e41c39c36f284397309977591fbc0345e62f6de95d8866eb03188ffc2ea3085e,0.31955246964292505,,,
qc_range_50_thermal,ThermalRadiance,23.0,5.0,5.0,50.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_50_thermal\qc_range_50_thermal.tp5,d1669e3d0a3cd795ee7621e6a5115ca45966fec06caabd0dd9321a1a845bfe5b,,0.18435885077863728,,
qc_vis_2_trans,Transmittance,2.0,1.0,1.0,10.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_vis_2_trans\qc_vis_2_trans.tp5,1ecab0a7bfe2b9d0486ef151203349d44ea2c143b62adf3f7d32777231069c17,0.04116232802122416,,,
qc_vis_2_thermal,ThermalRadiance,2.0,1.0,1.0,10.0,,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_vis_2_thermal\qc_vis_2_thermal.tp5,651d7e27291425c582400a990ba767ee2afbec483f3c3c3772753ce80eacd358,,0.613210174633837,,
