band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up_band,tau_down_band,path_radiance_band,sky_radiance_band,path_scattering_radiance_band,solar_irradiance_band,unit_radiance,unit_irradiance,source_case_ids
MWIR,Mid-Latitude Summer,Rural,default,0.5,0.1,0.1,20,45,0,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,0.1,0.1,20,45,0.002251268126,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,0.1,0.1,20,45,0.02834662924,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,0.1,0.1,20,45,0.1087789138,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,0.1,0.1,20,45,0.1315556914,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis50_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,0.5,0.1,0.1,50,45,0,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,0.1,0.1,50,45,0,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,0.1,0.1,50,45,0.0008620512066,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,0.1,0.1,50,45,0.02520695794,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,0.1,0.1,50,45,0.04088712234,,,,,,,,MWIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis50_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,0.5,3,3,20,45,0.3234554128,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,20,45,0.3234554128,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,20,45,0.3234554128,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,20,45,0.3234554128,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,20,45,0.3253305431,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis50_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,0.5,3,3,50,45,0.180743294,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,50,45,0.180743294,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,50,45,0.180743294,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,50,45,0.180743294,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,50,45,0.1840903804,,,,,,,,MWIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis50_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,0.5,10,10,20,45,0.7052243284,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,10,10,20,45,0.7052243284,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,10,10,20,45,0.7052243284,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,10,10,20,45,0.7052243284,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,10,10,20,45,0.7052243284,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis50_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,0.5,10,10,50,45,0.6077509129,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,10,10,50,45,0.6077509129,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,10,10,50,45,0.6077509129,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,10,10,50,45,0.6077509129,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,10,10,50,45,0.6077509129,,,,,,,,MWIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis50_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,0.5,20,3,20,45,0.6037876024,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,20,3,20,45,0.6037876024,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,20,3,20,45,0.6037876024,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,20,3,20,45,0.6037876024,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,20,3,20,45,0.6039780952,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis50_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,0.5,20,3,50,45,0.4719670216,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis0p5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,2,20,3,50,45,0.4719670216,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis2_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,5,20,3,50,45,0.4719670216,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis5_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,23,20,3,50,45,0.4719670216,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis23_aerRural_humdefault
MWIR,Mid-Latitude Summer,Rural,default,50,20,3,50,45,0.4723273735,,,,,,,,MWIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,0.1,0.1,20,45,0,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,0.1,0.1,20,45,0,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,0.1,0.1,20,45,0.0003490515394,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,0.1,0.1,20,45,0.1293142291,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,0.1,0.1,20,45,0.3233847592,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng20_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,0.1,0.1,50,45,0,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,0.1,0.1,50,45,0,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,0.1,0.1,50,45,0,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,0.1,0.1,50,45,0.01070213632,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,0.1,0.1,50,45,0.09467862812,,,,,,,,NIR_transmittance_aerosoloverride_obs0p1_tar0p1_rng50_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,3,3,20,45,0.5677691504,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,3,3,20,45,0.5677691504,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,3,3,20,45,0.5677691504,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,3,3,20,45,0.5677691504,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,3,3,20,45,0.6884953234,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng20_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,3,3,50,45,0.2952809057,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,3,3,50,45,0.2952809057,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,3,3,50,45,0.2952809057,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,3,3,50,45,0.2952809057,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,3,3,50,45,0.4780240948,,,,,,,,NIR_transmittance_aerosoloverride_obs3_tar3_rng50_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,10,10,20,45,0.9569851257,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,10,10,20,45,0.9569851257,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,10,10,20,45,0.9569851257,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,10,10,20,45,0.9569851257,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,10,10,20,45,0.9569851257,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng20_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,10,10,50,45,0.9089247669,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,10,10,50,45,0.9089247669,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,10,10,50,45,0.9089247669,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,10,10,50,45,0.9089247669,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,10,10,50,45,0.9089247669,,,,,,,,NIR_transmittance_aerosoloverride_obs10_tar10_rng50_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,20,3,20,45,0.8966542677,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,20,3,20,45,0.8966542677,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,20,3,20,45,0.8966542677,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,20,3,20,45,0.8966542677,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,20,3,20,45,0.9054333794,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng20_vis50_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,0.5,20,3,50,45,0.7963899305,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis0p5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,2,20,3,50,45,0.7963899305,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis2_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,5,20,3,50,45,0.7963899305,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis5_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,23,20,3,50,45,0.7963899305,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis23_aerRural_humdefault
NIR,Mid-Latitude Summer,Rural,default,50,20,3,50,45,0.816101988,,,,,,,,NIR_transmittance_aerosoloverride_obs20_tar3_rng50_vis50_aerRural_humdefault
