schema_version,case_id,band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up,path_thermal_W_m2_sr_um,direct_solar_irradiance_at_target_W_m2_um,downward_sky_diffuse_irradiance_W_m2_um,los_path_scattering_radiance_W_m2_sr_um,radiance_unit,irradiance_unit,tau_unit,response_mode,conversion_method,modtran_source_fields,source_case_ids,source_files
1,MWIR_obs3_tar3_rng1_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,1,,0.7204652336,0.1275239425,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng1_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng1_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,3,3,1,,0.7204652336,0.1275239425,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng1_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng1_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,3,3,1,,0.7204652336,0.1275239425,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng1_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng1_vis23,MWIR,Mid-Latitude Summer,Rural,default,23,3,3,1,,0.7204652336,0.1275239425,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng1_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng1_vis50,MWIR,Mid-Latitude Summer,Rural,default,50,3,3,1,,0.7206900403,0.1274600328,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng1_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng2_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,2,,0.6960838391,0.0421581473,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng2_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,3,3,2,,0.6960838391,0.0421581473,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng2_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,3,3,2,,0.6960838391,0.0421581473,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng2_vis23,MWIR,Mid-Latitude Summer,Rural,default,23,3,3,2,,0.6960838391,0.0421581473,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng2_vis50,MWIR,Mid-Latitude Summer,Rural,default,50,3,3,2,,0.6965172937,0.04215223816,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng5_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,5,,0.5378679401,0.2112125711,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
