test,case,material,value1,value2,result,units,status
NIR,SZA20_front,BM_PAINT,136.48194425654071,22.845015054065374,150.78550827621322,W/(m^2 sr um),PASS
NIR,SZA20_back,BM_PAINT,0.0,22.845015054065374,23.45922526439827,W/(m^2 sr um),PASS
NIR,SZA20_geometric_shadow,BM_PAINT,0.0,22.845015054065374,23.45922526439827,W/(m^2 sr um),PASS
NIR,SZA20_night,BM_PAINT,0.0,0.0,0.0,W/(m^2 sr um),PASS
NIR,SZA45_front,BM_PAINT,134.47899079253582,21.34472200171364,146.19681648578566,W/(m^2 sr um),PASS
NIR,SZA45_back,BM_PAINT,0.0,21.34472200171364,20.739122180019727,W/(m^2 sr um),PASS
NIR,SZA45_geometric_shadow,BM_PAINT,0.0,21.34472200171364,20.739122180019727,W/(m^2 sr um),PASS
NIR,SZA45_night,BM_PAINT,0.0,0.0,0.0,W/(m^2 sr um),PASS
NIR,SZA70_front,BM_PAINT,126.86044575912706,16.847601582439594,136.02812375999824,W/(m^2 sr um),PASS
NIR,SZA70_back,BM_PAINT,0.0,16.847601582439594,17.677897232085062,W/(m^2 sr um),PASS
NIR,SZA70_geometric_shadow,BM_PAINT,0.0,16.847601582439594,17.677897232085062,W/(m^2 sr um),PASS
NIR,SZA70_night,BM_PAINT,0.0,0.0,0.0,W/(m^2 sr um),PASS
MWIR_THERMAL,sun120_shadow120_night120,BM_METAL-ALUMINIUM,1.6333581198467104,1.60969035795389,1.4403830749115074,K delta,PASS
MWIR_THERMAL,sun120_shadow120_night120,BM_PAINT,0.8071188952040702,0.8629663698993981,0.8444097668532938,K delta,PASS
MWIR_THERMAL,sun120_shadow120_night120,BM_GLASS,0.7408259133359788,0.7587152154387389,0.7082249716044092,K delta,PASS
