scenario,band,range_km,visibility_km,solar_zenith_deg,path_thermal_W_m2_sr_um,tau_up,direct_solar_irradiance_at_target_W_m2_um,downward_sky_diffuse_irradiance_W_m2_um,los_path_scattering_radiance_W_m2_sr_um
MWIR_range_1,MWIR,1.0,23,,0.0593237028,0.7894240366,,,
MWIR_range_10,MWIR,10.0,23,,0.1170494316,0.5738013229,,,
MWIR_range_30,MWIR,30.0,23,,0.15976294640000002,0.40957891108692795,,,
MWIR_range_50,MWIR,50.0,23,,0.1843588508,0.31955246989999997,,,
MWIR_vis_5,MWIR,10,5.0,,0.03609890662,0.6667283123,,,
MWIR_vis_23,MWIR,10,23.0,,0.03609890662,0.6667283123,,,
MWIR_vis_50,MWIR,10,50.0,,0.03609890662,0.6667283123,,,
NIR_sza_20_range_1,NIR,1.0,23,20.0,,0.9788553731,857.541346848,143.53946293,0.365493826032
NIR_sza_20_range_10,NIR,10.0,23,20.0,,0.8803061145,857.541346848,143.53946293,3.47175634897
NIR_sza_20_range_30,NIR,30.0,23,20.0,,0.7409623915348555,857.541346848,143.53946293,9.469558113793333
NIR_sza_20_range_50,NIR,50.0,23,20.0,,0.6338603488,857.541346848,143.53946293,14.7343926285
NIR_sza_45_range_1,NIR,1.0,23,45.0,,0.9788553731,844.956419072,134.112843667,0.1459879448
NIR_sza_45_range_10,NIR,10.0,23,45.0,,0.8803061145,844.956419072,134.112843667,1.387681045
NIR_sza_45_range_30,NIR,30.0,23,45.0,,0.7409623915348555,844.956419072,134.112843667,3.7760640703333332
NIR_sza_45_range_50,NIR,50.0,23,45.0,,0.6338603488,844.956419072,134.112843667,5.853558997
NIR_sza_70_range_1,NIR,1.0,23,70.0,,0.9788553731,797.087688856,105.856602724,0.338670741806
NIR_sza_70_range_10,NIR,10.0,23,70.0,,0.8803061145,797.087688856,105.856602724,3.23362585484
NIR_sza_70_range_30,NIR,30.0,23,70.0,,0.7409623915348555,797.087688856,105.856602724,8.855385662673333
NIR_sza_70_range_50,NIR,50.0,23,70.0,,0.6338603488,797.087688856,105.856602724,13.8005884607
NIR_vis_5,NIR,10,5.0,45,,0.9329166851,844.956419072,134.324857858,0.8262748858
NIR_vis_23,NIR,10,23.0,45,,0.9329166851,844.956419072,134.112843667,0.8262748858
NIR_vis_50,NIR,10,50.0,45,,0.9329166851,844.956419072,133.993377198,0.8262748858
SWIR_ground_sza_20_range_0.1,SWIR,0.1,6,20.0,5.2409564476e-05,0.822212958059,92.2656194132,33.8040988643,0.104112744741
SWIR_ground_sza_20_range_0.5,SWIR,0.5,6,20.0,0.000126641766741,0.669487244932,92.2656194132,33.8040988643,0.49400812662
SWIR_ground_sza_20_range_1,SWIR,1.0,6,20.0,0.000173962344632,0.576341353326,92.2656194132,33.8040988643,0.928690725439
SWIR_ground_sza_45_range_0.1,SWIR,0.1,6,45.0,5.2409564476e-05,0.822212958059,80.4491142166,27.5536937906,0.0896229467995
SWIR_ground_sza_45_range_0.5,SWIR,0.5,6,45.0,0.000126641766741,0.669487244932,80.4491142166,27.5536937906,0.426719982182
SWIR_ground_sza_45_range_1,SWIR,1.0,6,45.0,0.000173962344632,0.576341353326,80.4491142166,27.5536937906,0.80497891048
SWIR_ground_sza_70_range_0.1,SWIR,0.1,6,70.0,5.2409564476e-05,0.822212958059,48.413938029,14.8445402834,0.0512479681344
SWIR_ground_sza_70_range_0.5,SWIR,0.5,6,70.0,0.000126641766741,0.669487244932,48.413938029,14.8445402834,0.245766394528
SWIR_ground_sza_70_range_1,SWIR,1.0,6,70.0,0.000173962344632,0.576341353326,48.413938029,14.8445402834,0.467223459188
MWIR_ground_sza_20_range_0.1,MWIR,0.1,6,20.0,0.166493828047,0.793352947158,3.83846845963,2.10065381779,0.0018361836715
MWIR_ground_sza_20_range_0.5,MWIR,0.5,6,20.0,0.295506921861,0.630848840714,3.83846845963,2.10065381779,0.00881012291014
