case_id,band,mode,grid,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,wavelength_low_um,wavelength_high_um,wavenumber_start_cm,wavenumber_end_cm,wavenumber_increment_cm,fwhm_cm,template_file,modin_file,status
NIR_transmittance_obs5_tar3_rng1_vis2_aerRural_humdefault,NIR,Transmittance,production_nir_mwir,Mid-Latitude Summer,Rural,default,2.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_transmittance_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_transmittance_obs5_tar3_rng1_vis2_aerRural_humdefault_modin.txt,invalid_geometry
NIR_solar_obs5_tar3_rng1_vis2_aerRural_humdefault_sza45,NIR,DirectSolarIrradiance,production_nir_mwir,Mid-Latitude Summer,Rural,default,2.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_solar_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_solar_obs5_tar3_rng1_vis2_aerRural_humdefault_sza45_modin.txt,invalid_geometry
NIR_scattering_obs5_tar3_rng1_vis2_aerRural_humdefault_sza45,NIR,RadianceWithScattering,production_nir_mwir,Mid-Latitude Summer,Rural,default,2.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_scattering_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_scattering_obs5_tar3_rng1_vis2_aerRural_humdefault_sza45_modin.txt,invalid_geometry
NIR_transmittance_obs5_tar3_rng1_vis5_aerRural_humdefault,NIR,Transmittance,production_nir_mwir,Mid-Latitude Summer,Rural,default,5.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_transmittance_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_transmittance_obs5_tar3_rng1_vis5_aerRural_humdefault_modin.txt,invalid_geometry
NIR_solar_obs5_tar3_rng1_vis5_aerRural_humdefault_sza45,NIR,DirectSolarIrradiance,production_nir_mwir,Mid-Latitude Summer,Rural,default,5.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_solar_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_solar_obs5_tar3_rng1_vis5_aerRural_humdefault_sza45_modin.txt,invalid_geometry
NIR_scattering_obs5_tar3_rng1_vis5_aerRural_humdefault_sza45,NIR,RadianceWithScattering,production_nir_mwir,Mid-Latitude Summer,Rural,default,5.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_scattering_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_scattering_obs5_tar3_rng1_vis5_aerRural_humdefault_sza45_modin.txt,invalid_geometry
NIR_transmittance_obs5_tar3_rng1_vis10_aerRural_humdefault,NIR,Transmittance,production_nir_mwir,Mid-Latitude Summer,Rural,default,10.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_transmittance_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_transmittance_obs5_tar3_rng1_vis10_aerRural_humdefault_modin.txt,invalid_geometry
NIR_solar_obs5_tar3_rng1_vis10_aerRural_humdefault_sza45,NIR,DirectSolarIrradiance,production_nir_mwir,Mid-Latitude Summer,Rural,default,10.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_solar_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_solar_obs5_tar3_rng1_vis10_aerRural_humdefault_sza45_modin.txt,invalid_geometry
NIR_scattering_obs5_tar3_rng1_vis10_aerRural_humdefault_sza45,NIR,RadianceWithScattering,production_nir_mwir,Mid-Latitude Summer,Rural,default,10.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_scattering_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_scattering_obs5_tar3_rng1_vis10_aerRural_humdefault_sza45_modin.txt,invalid_geometry
NIR_transmittance_obs5_tar3_rng1_vis23_aerRural_humdefault,NIR,Transmittance,production_nir_mwir,Mid-Latitude Summer,Rural,default,23.0,5.0,3.0,1.0,45.0,0.7,1.1,9090.90909090909,14285.714285714286,1.0,1.0,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\templates\NIR_transmittance_modin.txt,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\generated\modin\NIR_transmittance_obs5_tar3_rng1_vis23_aerRural_humdefault_modin.txt,invalid_geometry
