band,observer_alt_km,target_alt_km,range_km,visibility_km,tau_up_band,source_case_id,requested_visibility,modin_visibility_line_or_hash,modin_sha256,MODOUT1_actual_aerosol_visibility_lines,modout1_sha256,raw_sample_dir,diagnosis
MWIR,5,5,1,2,0.7894240366,MWIR_transmittance_obs5_tar5_rng1_vis2_aerRural_humdefault,2,line3:1    0    1    0    0    0      2.000     0.000     0.000     0.000     0.000,52fd9795366586f4,CARD 2  *****    1    0    1    0    0    0   2.00000   0.00000   0.00000   0.00000   0.00000 | AEROSOL MODEL | REGIME                      AEROSOL TYPE             PROFILE                  SEASON | BOUNDARY LAYER (0-2KM)      RURAL                     2.00 KM METEOROLOGICAL_RANGE_AT_SEA_LEVEL | TROPOSPHERE  (2-10KM)       TROPOSPHERIC             TROPOSPHERIC             SPRING-SUMMER | STRATOSPHERE (10-30KM)      BCKGD_STRATOSPHERIC      BCKGD_STRATOSPHERIC      SPRING-SUMMER | UPPER ATMOS (30-100KM)      METEORIC DUST            NORMAL | 6371.23  RADIUS OF THE EARTH [KM].,44be1e481eceec70,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\samples\MWIR_transmittance_obs5_tar5_rng1_vis2_aerRural_humdefault,POSSIBLE_PHYSICAL_LOW_SENSITIVITY
MWIR,5,5,1,5,0.7894240366,MWIR_transmittance_obs5_tar5_rng1_vis5_aerRural_humdefault,5,line3:1    0    1    0    0    0      5.000     0.000     0.000     0.000     0.000,057ce4f8cf063e9b,CARD 2  *****    1    0    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000 | AEROSOL MODEL | REGIME                      AEROSOL TYPE             PROFILE                  SEASON | BOUNDARY LAYER (0-2KM)      RURAL                     5.00 KM METEOROLOGICAL_RANGE_AT_SEA_LEVEL | TROPOSPHERE  (2-10KM)       TROPOSPHERIC             TROPOSPHERIC             SPRING-SUMMER | STRATOSPHERE (10-30KM)      BCKGD_STRATOSPHERIC      BCKGD_STRATOSPHERIC      SPRING-SUMMER | UPPER ATMOS (30-100KM)      METEORIC DUST            NORMAL | 6371.23  RADIUS OF THE EARTH [KM].,9a914cd957bff21b,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\samples\MWIR_transmittance_obs5_tar5_rng1_vis5_aerRural_humdefault,POSSIBLE_PHYSICAL_LOW_SENSITIVITY
MWIR,5,5,1,10,0.7894240366,MWIR_transmittance_obs5_tar5_rng1_vis10_aerRural_humdefault,10,line3:1    0    1    0    0    0     10.000     0.000     0.000     0.000     0.000,dd466ef75167bd0e,CARD 2  *****    1    0    1    0    0    0  10.00000   0.00000   0.00000   0.00000   0.00000 | AEROSOL MODEL | REGIME                      AEROSOL TYPE             PROFILE                  SEASON | BOUNDARY LAYER (0-2KM)      RURAL                    10.00 KM METEOROLOGICAL_RANGE_AT_SEA_LEVEL | TROPOSPHERE  (2-10KM)       TROPOSPHERIC             TROPOSPHERIC             SPRING-SUMMER | STRATOSPHERE (10-30KM)      BCKGD_STRATOSPHERIC      BCKGD_STRATOSPHERIC      SPRING-SUMMER | UPPER ATMOS (30-100KM)      METEORIC DUST            NORMAL | 6371.23  RADIUS OF THE EARTH [KM].,2889ffab8d8df838,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\samples\MWIR_transmittance_obs5_tar5_rng1_vis10_aerRural_humdefault,POSSIBLE_PHYSICAL_LOW_SENSITIVITY
MWIR,5,5,1,23,0.7894240366,MWIR_transmittance_obs5_tar5_rng1_vis23_aerRural_humdefault,23,line3:1    0    1    0    0    0     23.000     0.000     0.000     0.000     0.000,32a59bb9c2c2d06e,CARD 2  *****    1    0    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000 | AEROSOL MODEL | REGIME                      AEROSOL TYPE             PROFILE                  SEASON | BOUNDARY LAYER (0-2KM)      RURAL                    23.00 KM METEOROLOGICAL_RANGE_AT_SEA_LEVEL | TROPOSPHERE  (2-10KM)       TROPOSPHERIC             TROPOSPHERIC             SPRING-SUMMER | STRATOSPHERE (10-30KM)      BCKGD_STRATOSPHERIC      BCKGD_STRATOSPHERIC      SPRING-SUMMER | UPPER ATMOS (30-100KM)      METEORIC DUST            NORMAL | 6371.23  RADIUS OF THE EARTH [KM].,4aca330d37c364f6,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\samples\MWIR_transmittance_obs5_tar5_rng1_vis23_aerRural_humdefault,POSSIBLE_PHYSICAL_LOW_SENSITIVITY
MWIR,5,5,1,50,0.7894240366,MWIR_transmittance_obs5_tar5_rng1_vis50_aerRural_humdefault,50,line3:1    0    1    0    0    0     50.000     0.000     0.000     0.000     0.000,f80aea7bd8b94c6a,CARD 2  *****    1    0    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000 | AEROSOL MODEL | REGIME                      AEROSOL TYPE             PROFILE                  SEASON | BOUNDARY LAYER (0-2KM)      RURAL                    50.00 KM METEOROLOGICAL_RANGE_AT_SEA_LEVEL | TROPOSPHERE  (2-10KM)       TROPOSPHERIC             TROPOSPHERIC             SPRING-SUMMER | STRATOSPHERE (10-30KM)      BCKGD_STRATOSPHERIC      BCKGD_STRATOSPHERIC      SPRING-SUMMER | UPPER ATMOS (30-100KM)      METEORIC DUST            NORMAL | 6371.23  RADIUS OF THE EARTH [KM].,3ad2868307db36a8,HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\samples\MWIR_transmittance_obs5_tar5_rng1_vis50_aerRural_humdefault,POSSIBLE_PHYSICAL_LOW_SENSITIVITY
MWIR,5,5,2,2,0.7824045258,MWIR_transmittance_obs5_tar5_rng2_vis2_aerRural_humdefault,2,line3:1    0    1    0    0    0      2.000     0.000     0.000     0.000     0.000,b565f434192aa90f,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
MWIR,5,5,2,5,0.7824045258,MWIR_transmittance_obs5_tar5_rng2_vis5_aerRural_humdefault,5,line3:1    0    1    0    0    0      5.000     0.000     0.000     0.000     0.000,98e753b4075dba3f,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
MWIR,5,5,2,10,0.7824045258,MWIR_transmittance_obs5_tar5_rng2_vis10_aerRural_humdefault,10,line3:1    0    1    0    0    0     10.000     0.000     0.000     0.000     0.000,a1aef15cc457fd55,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
MWIR,5,5,2,23,0.7824045258,MWIR_transmittance_obs5_tar5_rng2_vis23_aerRural_humdefault,23,line3:1    0    1    0    0    0     23.000     0.000     0.000     0.000     0.000,d76627ecf9f623bc,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
MWIR,5,5,2,50,0.7824045258,MWIR_transmittance_obs5_tar5_rng2_vis50_aerRural_humdefault,50,line3:1    0    1    0    0    0     50.000     0.000     0.000     0.000     0.000,80453e20ef8f67e2,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
MWIR,5,5,5,2,0.6560062972,MWIR_transmittance_obs5_tar5_rng5_vis2_aerRural_humdefault,2,line3:1    0    1    0    0    0      2.000     0.000     0.000     0.000     0.000,2ebe22d0d558d817,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
MWIR,5,5,5,5,0.6560062972,MWIR_transmittance_obs5_tar5_rng5_vis5_aerRural_humdefault,5,line3:1    0    1    0    0    0      5.000     0.000     0.000     0.000     0.000,d714e6d0dd51e6a2,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
MWIR,5,5,5,10,0.6560062972,MWIR_transmittance_obs5_tar5_rng5_vis10_aerRural_humdefault,10,line3:1    0    1    0    0    0     10.000     0.000     0.000     0.000     0.000,5f7a8a13fe6a37f4,MISSING_MODOUT1,MISSING_MODOUT1,MISSING_RAW_SAMPLE_DIR,NEED_RAW_SAMPLE_REVIEW
