T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000   5.00000 120.03431  10.00044   0.07779   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  45.00529   0.00000 180.00000   0.00000   0.00000
    2000.0    3333.0       1.0       1.0NWW             
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 2000.00 0.83430511 2.3420E-08 0.0000E+00 0.0000E+00 1.1112E-11 1.1112E-11 0.0000E+00 0.0000E+00 2.3431E-08 6.42E-07 8.63E-07   0.181 1.0000 8.6744E-07    222.797
 2001.00 0.93323725 9.6981E-09 0.0000E+00 0.0000E+00 1.1984E-11 1.1984E-11 0.0000E+00 0.0000E+00 9.7101E-09 7.67E-07 8.61E-07   0.069 1.0000 8.6357E-07    208.654
 2002.00 0.95927799 5.8349E-09 0.0000E+00 0.0000E+00 1.2194E-11 1.2194E-11 0.0000E+00 0.0000E+00 5.8471E-09 8.01E-07 8.59E-07   0.042 1.0000 8.6221E-07    201.335
 2003.00 0.94431078 7.9866E-09 0.0000E+00 0.0000E+00 1.2180E-11 1.2180E-11 0.0000E+00 0.0000E+00 7.9988E-09 7.86E-07 8.65E-07   0.057 1.0000 8.6860E-07    205.924
 2004.00 0.96198589 5.3884E-09 0.0000E+00 0.0000E+00 1.2326E-11 1.2326E-11 0.0000E+00 0.0000E+00 5.4007E-09 8.09E-07 8.64E-07   0.039 1.0000 8.6812E-07    200.382
 2005.00 0.96329194 5.2599E-09 0.0000E+00 0.0000E+00 1.2366E-11 1.2366E-11 0.0000E+00 0.0000E+00 5.2723E-09 8.11E-07 8.64E-07   0.037 1.0000 8.6657E-07    200.126
 2006.00 0.90106493 1.3534E-08 0.0000E+00 0.0000E+00 1.1806E-11 1.1806E-11 0.0000E+00 0.0000E+00 1.3546E-08 7.32E-07 8.62E-07   0.104 1.0000 8.6754E-07    214.228
 2007.00 0.83501005 2.3180E-08 0.0000E+00 0.0000E+00 1.1402E-11 1.1402E-11 0.0000E+00 0.0000E+00 2.3192E-08 6.51E-07 8.68E-07   0.180 1.0000 8.7306E-07    223.218
 2008.00 0.49811283 5.7427E-08 0.0000E+00 0.0000E+00 8.0104E-12 8.0104E-12 0.0000E+00 0.0000E+00 5.7435E-08 3.47E-07 8.46E-07   0.697 1.0000 8.7354E-07    240.136
 2009.00 0.57447505 4.8054E-08 0.0000E+00 0.0000E+00 8.6226E-12 8.6226E-12 0.0000E+00 0.0000E+00 4.8063E-08 4.15E-07 8.40E-07   0.554 1.0000 8.7238E-07    236.721
 2010.00 0.85974926 1.9211E-08 0.0000E+00 0.0000E+00 1.1625E-11 1.1625E-11 0.0000E+00 0.0000E+00 1.9223E-08 6.79E-07 8.69E-07   0.151 1.0000 8.7500E-07    220.280
 2011.00 0.93813336 8.5764E-09 0.0000E+00 0.0000E+00 1.2350E-11 1.2350E-11 0.0000E+00 0.0000E+00 8.5888E-09 7.80E-07 8.69E-07   0.064 1.0000 8.7316E-07    207.625
 2012.00 0.95092410 6.6667E-09 0.0000E+00 0.0000E+00 1.2478E-11 1.2478E-11 0.0000E+00 0.0000E+00 6.6792E-09 7.99E-07 8.70E-07   0.050 1.0000 8.7722E-07    204.025
 2013.00 0.94690126 7.3273E-09 0.0000E+00 0.0000E+00 1.2526E-11 1.2526E-11 0.0000E+00 0.0000E+00 7.3399E-09 7.96E-07 8.73E-07   0.055 1.0000 8.7722E-07    205.470
 2014.00 0.92173988 1.0533E-08 0.0000E+00 0.0000E+00 1.2252E-11 1.2252E-11 0.0000E+00 0.0000E+00 1.0545E-08 7.59E-07 8.69E-07   0.081 1.0000 8.7684E-07    210.974
 2015.00 0.86957550 1.7719E-08 0.0000E+00 0.0000E+00 1.1777E-11 1.1777E-11 0.0000E+00 0.0000E+00 1.7731E-08 6.84E-07 8.65E-07   0.140 1.0000 8.7451E-07    219.353
 2016.00 0.54957688 5.8022E-08 0.0000E+00 0.0000E+00 9.0979E-12 9.0979E-12 0.0000E+00 0.0000E+00 5.8031E-08 3.52E-07 8.69E-07   0.599 1.0000 8.7790E-07    241.060
 2017.00 0.09092562 8.2885E-08 0.0000E+00 0.0000E+00 3.2213E-12 3.2213E-12 0.0000E+00 0.0000E+00 8.2888E-08 2.92E-08 7.28E-07   2.398 1.0000 8.7810E-07    248.512
 2018.00 0.30909547 7.3207E-08 0.0000E+00 0.0000E+00 6.1588E-12 6.1588E-12 0.0000E+00 0.0000E+00 7.3214E-08 1.69E-07 8.13E-07   1.174 1.0000 8.7906E-07    245.990
 2019.00 0.22330795 8.0315E-08 0.0000E+00 0.0000E+00 5.2281E-12 5.2281E-12 0.0000E+00 0.0000E+00 8.0320E-08 1.11E-07 8.20E-07   1.499 1.0000 8.7839E-07    248.027
 2020.00 0.82713300 2.2954E-08 0.0000E+00 0.0000E+00 1.1569E-11 1.1569E-11 0.0000E+00 0.0000E+00 2.2966E-08 6.34E-07 8.69E-07   0.190 1.0000 8.8110E-07    224.159
 2021.00 0.90311319 1.2470E-08 0.0000E+00 0.0000E+00 1.2214E-11 1.2214E-11 0.0000E+00 0.0000E+00 1.2483E-08 7.37E-07 8.68E-07   0.102 1.0000 8.8129E-07    214.175
 2022.00 0.92383778 1.0249E-08 0.0000E+00 0.0000E+00 1.2593E-11 1.2593E-11 0.0000E+00 0.0000E+00 1.0261E-08 7.67E-07 8.76E-07   0.079 1.0000 8.8120E-07    211.209
