T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000 100.00000   0.00000  95.00000   0.00000   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    1995.0    3335.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 1995.00  0.9288 7.96E-07 8.57E-07                                                              7.384E-02
 1996.00  0.9511 8.20E-07 8.62E-07                                                              5.018E-02
 1997.00  0.9546 8.22E-07 8.61E-07                                                              4.650E-02
 1998.00  0.9025 7.76E-07 8.60E-07                                                              1.026E-01
 1999.00  0.4124 3.56E-07 8.64E-07                                                              8.858E-01
 2000.00  0.9079 7.88E-07 8.67E-07                                                              9.664E-02
 2001.00  0.9636 8.32E-07 8.64E-07                                                              3.708E-02
 2002.00  0.9771 8.42E-07 8.62E-07                                                              2.318E-02
 2003.00  0.9692 8.42E-07 8.69E-07                                                              3.128E-02
 2004.00  0.9774 8.48E-07 8.68E-07                                                              2.286E-02
 2005.00  0.9791 8.48E-07 8.67E-07                                                              2.107E-02
 2006.00  0.9419 8.17E-07 8.68E-07                                                              5.982E-02
 2007.00  0.9061 7.91E-07 8.73E-07                                                              9.857E-02
 2008.00  0.6149 5.37E-07 8.74E-07                                                              4.863E-01
 2009.00  0.6780 5.91E-07 8.72E-07                                                              3.886E-01
 2010.00  0.9202 8.05E-07 8.75E-07                                                              8.320E-02
 2011.00  0.9654 8.43E-07 8.73E-07                                                              3.521E-02
 2012.00  0.9694 8.50E-07 8.77E-07                                                              3.112E-02
 2013.00  0.9697 8.51E-07 8.77E-07                                                              3.082E-02
 2014.00  0.9534 8.36E-07 8.77E-07                                                              4.773E-02
 2015.00  0.9253 8.09E-07 8.75E-07                                                              7.764E-02
 2016.00  0.7121 6.25E-07 8.78E-07                                                              3.395E-01
 2017.00  0.2024 1.78E-07 8.78E-07                                                              1.597E+00
 2018.00  0.4539 3.99E-07 8.79E-07                                                              7.899E-01
 2019.00  0.3702 3.25E-07 8.78E-07                                                              9.936E-01
 2020.00  0.8997 7.93E-07 8.81E-07                                                              1.057E-01
 2021.00  0.9387 8.27E-07 8.81E-07                                                              6.326E-02
 2022.00  0.9573 8.44E-07 8.81E-07                                                              4.368E-02
 2023.00  0.6102 5.37E-07 8.79E-07                                                              4.940E-01
 2024.00  0.9591 8.46E-07 8.82E-07                                                              4.180E-02
 2025.00  0.9622 8.51E-07 8.85E-07                                                              3.853E-02
 2026.00  0.9039 8.02E-07 8.87E-07                                                              1.010E-01
 2027.00  0.5153 4.56E-07 8.85E-07                                                              6.630E-01
 2028.00  0.9564 8.45E-07 8.84E-07                                                              4.463E-02
 2029.00  0.9720 8.64E-07 8.89E-07                                                              2.844E-02
 2030.00  0.9675 8.59E-07 8.88E-07                                                              3.307E-02
 2031.00  0.9743 8.64E-07 8.87E-07                                                              2.600E-02
 2032.00  0.9702 8.60E-07 8.87E-07                                                              3.026E-02
 2033.00  0.9795 8.73E-07 8.91E-07                                                              2.069E-02
 2034.00  0.8826 7.86E-07 8.90E-07                                                              1.249E-01
 2035.00  0.9577 8.52E-07 8.90E-07                                                              4.323E-02
 2036.00  0.9791 8.75E-07 8.93E-07                                                              2.110E-02
 2037.00  0.8720 7.80E-07 8.95E-07                                                              1.370E-01
 2038.00  0.7860 7.05E-07 8.97E-07                                                              2.408E-01
 2039.00  0.9651 8.67E-07 8.98E-07                                                              3.555E-02
 2040.00  0.8847 7.95E-07 8.99E-07                                                              1.225E-01
 2041.00  0.4150 3.72E-07 8.97E-07                                                              8.794E-01
 2042.00  0.7288 6.57E-07 9.02E-07                                                              3.163E-01
 2043.00  0.8450 7.61E-07 9.00E-07                                                              1.684E-01
 2044.00  0.4905 4.41E-07 8.99E-07                                                              7.124E-01
 2045.00  0.9460 8.51E-07 8.99E-07                                                              5.548E-02
 2046.00  0.8281 7.47E-07 9.02E-07                                                              1.886E-01
 2047.00  0.8582 7.75E-07 9.03E-07                                                              1.529E-01
 2048.00  0.8743 7.90E-07 9.04E-07                                                              1.343E-01
 2049.00  0.7982 7.20E-07 9.03E-07                                                              2.255E-01
 2050.00  0.9391 8.48E-07 9.03E-07                                                              6.280E-02
 2051.00  0.8321 7.50E-07 9.02E-07                                                              1.838E-01
 2052.00  0.7681 6.94E-07 9.03E-07                                                              2.638E-01
 2053.00  0.9382 8.46E-07 9.02E-07                                                              6.375E-02
 2054.00  0.7758 7.00E-07 9.03E-07                                                              2.539E-01
 2055.00  0.7380 6.70E-07 9.08E-07                                                              3.038E-01
 2056.00  0.9416 8.59E-07 9.12E-07                                                              6.022E-02
 2057.00  0.7378 6.70E-07 9.08E-07                                                              3.040E-01
 2058.00  0.7287 6.62E-07 9.08E-07                                                              3.166E-01
 2059.00  0.9184 8.40E-07 9.15E-07                                                              8.514E-02
 2060.00  0.5179 4.73E-07 9.13E-07                                                              6.580E-01
 2061.00  0.6659 6.07E-07 9.11E-07                                                              4.066E-01
 2062.00  0.9073 8.29E-07 9.13E-07                                                              9.727E-02
 2063.00  0.6901 6.32E-07 9.16E-07                                                              3.710E-01
 2064.00  0.6851 6.28E-07 9.16E-07                                                              3.782E-01
 2065.00  0.3731 3.42E-07 9.18E-07                                                              9.859E-01
 2066.00  0.4196 3.86E-07 9.21E-07                                                              8.684E-01
 2067.00  0.8912 8.20E-07 9.20E-07                                                              1.152E-01
 2068.00  0.7805 7.20E-07 9.22E-07                                                              2.479E-01
 2069.00  0.6798 6.26E-07 9.21E-07                                                              3.860E-01
 2070.00  0.8879 8.20E-07 9.23E-07                                                              1.189E-01
 2071.00  0.7473 6.86E-07 9.18E-07                                                              2.913E-01
 2072.00  0.7592 7.00E-07 9.22E-07                                                              2.754E-01
 2073.00  0.7923 7.31E-07 9.23E-07                                                              2.329E-01
 2074.00  0.5746 5.32E-07 9.25E-07                                                              5.541E-01
