T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000 100.00000  60.00000 186.06754   1.42707   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    1995.0    3335.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 1995.00  0.8630 7.40E-07 8.57E-07                                                              1.473E-01
 1996.00  0.9047 7.80E-07 8.62E-07                                                              1.001E-01
 1997.00  0.9115 7.85E-07 8.61E-07                                                              9.272E-02
 1998.00  0.8174 7.03E-07 8.60E-07                                                              2.016E-01
 1999.00  0.2735 2.36E-07 8.64E-07                                                              1.297E+00
 2000.00  0.8297 7.20E-07 8.67E-07                                                              1.866E-01
 2001.00  0.9290 8.02E-07 8.64E-07                                                              7.361E-02
 2002.00  0.9550 8.23E-07 8.62E-07                                                              4.609E-02
 2003.00  0.9396 8.16E-07 8.69E-07                                                              6.226E-02
 2004.00  0.9555 8.30E-07 8.68E-07                                                              4.550E-02
 2005.00  0.9588 8.31E-07 8.67E-07                                                              4.209E-02
 2006.00  0.8940 7.76E-07 8.68E-07                                                              1.121E-01
 2007.00  0.8283 7.23E-07 8.73E-07                                                              1.884E-01
 2008.00  0.4940 4.32E-07 8.74E-07                                                              7.053E-01
 2009.00  0.5675 4.95E-07 8.72E-07                                                              5.664E-01
 2010.00  0.8514 7.45E-07 8.75E-07                                                              1.609E-01
 2011.00  0.9323 8.14E-07 8.73E-07                                                              7.009E-02
 2012.00  0.9399 8.25E-07 8.77E-07                                                              6.194E-02
 2013.00  0.9404 8.25E-07 8.77E-07                                                              6.149E-02
 2014.00  0.9108 7.99E-07 8.77E-07                                                              9.349E-02
 2015.00  0.8570 7.49E-07 8.75E-07                                                              1.544E-01
 2016.00  0.5433 4.77E-07 8.78E-07                                                              6.101E-01
 2017.00  0.0883 7.75E-08 8.78E-07                                                              2.427E+00
 2018.00  0.3020 2.66E-07 8.79E-07                                                              1.197E+00
 2019.00  0.2193 1.93E-07 8.78E-07                                                              1.517E+00
 2020.00  0.8118 7.15E-07 8.81E-07                                                              2.084E-01
 2021.00  0.8856 7.80E-07 8.81E-07                                                              1.215E-01
 2022.00  0.9166 8.08E-07 8.81E-07                                                              8.712E-02
 2023.00  0.4784 4.21E-07 8.79E-07                                                              7.374E-01
 2024.00  0.9202 8.11E-07 8.82E-07                                                              8.319E-02
 2025.00  0.9264 8.20E-07 8.85E-07                                                              7.650E-02
 2026.00  0.8226 7.30E-07 8.87E-07                                                              1.953E-01
 2027.00  0.3768 3.33E-07 8.85E-07                                                              9.762E-01
 2028.00  0.9153 8.09E-07 8.84E-07                                                              8.853E-02
 2029.00  0.9452 8.40E-07 8.89E-07                                                              5.634E-02
 2030.00  0.9369 8.32E-07 8.88E-07                                                              6.520E-02
 2031.00  0.9498 8.42E-07 8.87E-07                                                              5.155E-02
 2032.00  0.9421 8.35E-07 8.87E-07                                                              5.960E-02
 2033.00  0.9598 8.55E-07 8.91E-07                                                              4.105E-02
 2034.00  0.7986 7.11E-07 8.90E-07                                                              2.249E-01
 2035.00  0.9190 8.18E-07 8.90E-07                                                              8.444E-02
 2036.00  0.9590 8.57E-07 8.93E-07                                                              4.189E-02
 2037.00  0.7696 6.89E-07 8.95E-07                                                              2.618E-01
 2038.00  0.6769 6.07E-07 8.97E-07                                                              3.903E-01
 2039.00  0.9318 8.37E-07 8.98E-07                                                              7.064E-02
 2040.00  0.7941 7.14E-07 8.99E-07                                                              2.305E-01
 2041.00  0.2847 2.55E-07 8.97E-07                                                              1.256E+00
 2042.00  0.5758 5.19E-07 9.02E-07                                                              5.520E-01
 2043.00  0.7383 6.65E-07 9.00E-07                                                              3.034E-01
 2044.00  0.3525 3.17E-07 8.99E-07                                                              1.043E+00
 2045.00  0.8956 8.05E-07 8.99E-07                                                              1.103E-01
 2046.00  0.7319 6.61E-07 9.02E-07                                                              3.121E-01
 2047.00  0.7888 7.12E-07 9.03E-07                                                              2.373E-01
 2048.00  0.8140 7.36E-07 9.04E-07                                                              2.058E-01
 2049.00  0.7041 6.35E-07 9.03E-07                                                              3.509E-01
 2050.00  0.8828 7.97E-07 9.03E-07                                                              1.246E-01
 2051.00  0.7556 6.81E-07 9.02E-07                                                              2.803E-01
 2052.00  0.6698 6.05E-07 9.03E-07                                                              4.007E-01
 2053.00  0.8831 7.96E-07 9.02E-07                                                              1.244E-01
 2054.00  0.6810 6.15E-07 9.03E-07                                                              3.842E-01
 2055.00  0.6327 5.75E-07 9.08E-07                                                              4.578E-01
 2056.00  0.8878 8.10E-07 9.12E-07                                                              1.190E-01
 2057.00  0.6390 5.80E-07 9.08E-07                                                              4.478E-01
 2058.00  0.6248 5.67E-07 9.08E-07                                                              4.703E-01
 2059.00  0.8449 7.73E-07 9.15E-07                                                              1.685E-01
 2060.00  0.3871 3.53E-07 9.13E-07                                                              9.491E-01
 2061.00  0.5277 4.81E-07 9.11E-07                                                              6.392E-01
 2062.00  0.8254 7.54E-07 9.13E-07                                                              1.918E-01
 2063.00  0.5677 5.20E-07 9.16E-07                                                              5.661E-01
 2064.00  0.5438 4.98E-07 9.16E-07                                                              6.093E-01
 2065.00  0.2303 2.11E-07 9.18E-07                                                              1.469E+00
 2066.00  0.2736 2.52E-07 9.21E-07                                                              1.296E+00
 2067.00  0.7970 7.33E-07 9.20E-07                                                              2.269E-01
 2068.00  0.6827 6.30E-07 9.22E-07                                                              3.816E-01
 2069.00  0.5440 5.01E-07 9.21E-07                                                              6.088E-01
 2070.00  0.7943 7.33E-07 9.23E-07                                                              2.303E-01
 2071.00  0.6305 5.79E-07 9.18E-07                                                              4.612E-01
 2072.00  0.6334 5.84E-07 9.22E-07                                                              4.566E-01
 2073.00  0.6610 6.10E-07 9.23E-07                                                              4.140E-01
 2074.00  0.4202 3.89E-07 9.25E-07                                                              8.671E-01
