"case_id","engine_path","engine_file_version","generated_at","output_kind","output_file","output_sha256"
"mwir_std_flux","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.2334692+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\MODOUT2.txt","a748676a25cf2f77057a17a78d4d91c2fe23d5c60c0bf6429483f749f38aba0c"
"mwir_std_flux","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.2998187+08:00","specflux","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx","cc5fdc2e8c6ca6c4796ac816b118b7e44c51fc97ff96c49e02613df67aaea1af"
"mwir_std_flux","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.3077994+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\MODOUT1.txt","b5ad7a5dc2e8755f85a7165419e580bcd213fb067da80f2fb45aa84fe4d85a0f"
"mwir_std_solar_direct","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.4605948+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_direct\MODOUT2.txt","7b9d3cd88fd8d459aa8101104552a47a881fe50a91a3777bc98cfc2c9249dead"
"mwir_std_solar_direct","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.4631723+08:00","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_direct\tape7.scn","eaa84836718bd0fc6c4972d996771b717d736f2392c101c93bb81251561e1795"
"mwir_std_solar_direct","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.4651552+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_direct\MODOUT1.txt","fb2b61f34bdd5c5f47526032b079b076d7eb9814292532ed396a7ad29322ed99"
"mwir_std_solar_scatter","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.6143794+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt","4b2703d489ab103381c8a14cd3de4772075c6c6916bf6cf25ee8a822acbe5c2d"
"mwir_std_solar_scatter","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.6173324+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT1.txt","3cbf486575dd9f2b644f4079509dae6a393e84e999261cd627564bd3d38f1eb6"
"mwir_std_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.7472514+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_thermal\MODOUT2.txt","eabfa52ad944c006366dbedb5a64f461e40ffee536710b9baad4aa7676acb03c"
"mwir_std_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.7500222+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_thermal\MODOUT1.txt","376ea074a16350348f0ba8656a357e4419c5bf2d60ce568090d6fa5e950e43d1"
