T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000 100.00000  45.00000 126.41689   0.79155   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    3985.0   33345.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 3985.00  0.9738 2.97E-06 3.05E-06                                                              2.651E-02
 3986.00  0.9821 3.01E-06 3.06E-06                                                              1.803E-02
 3987.00  0.9960 3.05E-06 3.06E-06                                                              4.027E-03
 3988.00  0.9963 3.07E-06 3.08E-06                                                              3.717E-03
 3989.00  0.9899 3.06E-06 3.09E-06                                                              1.012E-02
 3990.00  0.9740 3.01E-06 3.09E-06                                                              2.634E-02
 3991.00  0.9183 2.85E-06 3.10E-06                                                              8.520E-02
 3992.00  0.9940 3.08E-06 3.10E-06                                                              6.021E-03
 3993.00  0.9677 3.00E-06 3.10E-06                                                              3.281E-02
 3994.00  0.9917 3.07E-06 3.10E-06                                                              8.302E-03
 3995.00  0.8175 2.54E-06 3.10E-06                                                              2.015E-01
 3996.00  0.9919 3.08E-06 3.11E-06                                                              8.160E-03
 3997.00  0.9927 3.09E-06 3.11E-06                                                              7.355E-03
 3998.00  0.9954 3.10E-06 3.11E-06                                                              4.592E-03
 3999.00  0.9937 3.09E-06 3.11E-06                                                              6.359E-03
 4000.00  0.9932 3.09E-06 3.11E-06                                                              6.831E-03
 4001.00  0.9889 3.07E-06 3.10E-06                                                              1.113E-02
 4002.00  0.9944 3.09E-06 3.10E-06                                                              5.648E-03
 4003.00  0.9911 3.08E-06 3.10E-06                                                              8.967E-03
 4004.00  0.9922 3.07E-06 3.09E-06                                                              7.826E-03
 4005.00  0.9870 3.06E-06 3.10E-06                                                              1.307E-02
 4006.00  0.9955 3.08E-06 3.10E-06                                                              4.525E-03
 4007.00  0.9906 3.07E-06 3.10E-06                                                              9.414E-03
 4008.00  0.9148 2.84E-06 3.10E-06                                                              8.906E-02
 4009.00  0.8362 2.59E-06 3.10E-06                                                              1.789E-01
 4010.00  0.9913 3.08E-06 3.11E-06                                                              8.738E-03
 4011.00  0.9850 3.06E-06 3.11E-06                                                              1.508E-02
 4012.00  0.9870 3.07E-06 3.11E-06                                                              1.312E-02
 4013.00  0.8928 2.78E-06 3.11E-06                                                              1.133E-01
 4014.00  0.9926 3.10E-06 3.12E-06                                                              7.468E-03
 4015.00  0.9907 3.09E-06 3.12E-06                                                              9.340E-03
 4016.00  0.9951 3.11E-06 3.12E-06                                                              4.934E-03
 4017.00  0.9896 3.09E-06 3.13E-06                                                              1.049E-02
 4018.00  0.9909 3.09E-06 3.12E-06                                                              9.167E-03
 4019.00  0.8362 2.58E-06 3.08E-06                                                              1.788E-01
 4020.00  0.9786 3.00E-06 3.07E-06                                                              2.164E-02
 4021.00  0.9708 2.98E-06 3.07E-06                                                              2.966E-02
 4022.00  0.9946 3.05E-06 3.07E-06                                                              5.365E-03
 4023.00  0.9956 3.06E-06 3.08E-06                                                              4.424E-03
 4024.00  0.9919 3.09E-06 3.12E-06                                                              8.133E-03
 4025.00  0.8220 2.57E-06 3.12E-06                                                              1.960E-01
 4026.00  0.9708 3.00E-06 3.09E-06                                                              2.961E-02
 4027.00  0.9900 3.05E-06 3.08E-06                                                              1.003E-02
 4028.00  0.9898 3.04E-06 3.07E-06                                                              1.022E-02
 4029.00  0.9860 3.01E-06 3.05E-06                                                              1.408E-02
 4030.00  0.9199 2.81E-06 3.05E-06                                                              8.350E-02
 4031.00  0.9306 2.86E-06 3.08E-06                                                              7.194E-02
 4032.00  0.9897 3.04E-06 3.07E-06                                                              1.032E-02
 4033.00  0.9908 3.05E-06 3.08E-06                                                              9.278E-03
 4034.00  0.9972 3.10E-06 3.11E-06                                                              2.808E-03
 4035.00  0.9953 3.12E-06 3.13E-06                                                              4.664E-03
 4036.00  0.9951 3.13E-06 3.15E-06                                                              4.884E-03
 4037.00  0.9985 3.16E-06 3.17E-06                                                              1.535E-03
 4038.00  0.9984 3.16E-06 3.17E-06                                                              1.600E-03
 4039.00  0.9977 3.16E-06 3.17E-06                                                              2.312E-03
 4040.00  0.9968 3.15E-06 3.16E-06                                                              3.169E-03
 4041.00  0.9976 3.14E-06 3.14E-06                                                              2.373E-03
 4042.00  0.9982 3.14E-06 3.14E-06                                                              1.798E-03
 4043.00  0.9939 3.12E-06 3.14E-06                                                              6.128E-03
 4044.00  0.9047 2.84E-06 3.14E-06                                                              1.001E-01
 4045.00  0.7919 2.49E-06 3.14E-06                                                              2.334E-01
 4046.00  0.9947 3.12E-06 3.13E-06                                                              5.291E-03
 4047.00  0.9978 3.12E-06 3.12E-06                                                              2.214E-03
 4048.00  0.9980 3.12E-06 3.12E-06                                                              1.975E-03
 4049.00  0.9973 3.11E-06 3.12E-06                                                              2.734E-03
 4050.00  0.9959 3.12E-06 3.13E-06                                                              4.065E-03
 4051.00  0.9964 3.15E-06 3.16E-06                                                              3.569E-03
 4052.00  0.9778 3.10E-06 3.17E-06                                                              2.249E-02
 4053.00  0.9987 3.17E-06 3.18E-06                                                              1.336E-03
 4054.00  0.9988 3.17E-06 3.18E-06                                                              1.217E-03
 4055.00  0.9983 3.17E-06 3.17E-06                                                              1.668E-03
 4056.00  0.9988 3.17E-06 3.18E-06                                                              1.170E-03
 4057.00  0.9981 3.17E-06 3.18E-06                                                              1.853E-03
 4058.00  0.9895 3.15E-06 3.18E-06                                                              1.060E-02
 4059.00  0.9968 3.18E-06 3.19E-06                                                              3.203E-03
 4060.00  0.9522 3.04E-06 3.19E-06                                                              4.899E-02
 4061.00  0.9533 3.04E-06 3.19E-06                                                              4.788E-02
 4062.00  0.9969 3.18E-06 3.18E-06                                                              3.086E-03
 4063.00  0.9976 3.18E-06 3.19E-06                                                              2.387E-03
 4064.00  0.9989 3.18E-06 3.19E-06                                                              1.095E-03
