T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000 100.00000  20.00000  90.37707   0.27369   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    3985.0   33345.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 3985.00  0.9979 3.04E-06 3.05E-06                                                              2.073E-03
 3986.00  0.9986 3.06E-06 3.06E-06                                                              1.437E-03
 3987.00  0.9988 3.06E-06 3.06E-06                                                              1.204E-03
 3988.00  0.9988 3.07E-06 3.08E-06                                                              1.163E-03
 3989.00  0.9986 3.08E-06 3.09E-06                                                              1.370E-03
 3990.00  0.9980 3.09E-06 3.09E-06                                                              1.987E-03
 3991.00  0.9952 3.09E-06 3.10E-06                                                              4.762E-03
 3992.00  0.9984 3.09E-06 3.10E-06                                                              1.642E-03
 3993.00  0.9974 3.09E-06 3.10E-06                                                              2.618E-03
 3994.00  0.9985 3.09E-06 3.10E-06                                                              1.537E-03
 3995.00  0.9867 3.06E-06 3.10E-06                                                              1.334E-02
 3996.00  0.9982 3.10E-06 3.11E-06                                                              1.768E-03
 3997.00  0.9985 3.11E-06 3.11E-06                                                              1.469E-03
 3998.00  0.9982 3.10E-06 3.11E-06                                                              1.753E-03
 3999.00  0.9979 3.10E-06 3.11E-06                                                              2.065E-03
 4000.00  0.9983 3.10E-06 3.11E-06                                                              1.670E-03
 4001.00  0.9976 3.10E-06 3.10E-06                                                              2.382E-03
 4002.00  0.9979 3.10E-06 3.10E-06                                                              2.145E-03
 4003.00  0.9976 3.10E-06 3.10E-06                                                              2.395E-03
 4004.00  0.9978 3.09E-06 3.09E-06                                                              2.183E-03
 4005.00  0.9974 3.09E-06 3.10E-06                                                              2.581E-03
 4006.00  0.9985 3.09E-06 3.10E-06                                                              1.543E-03
 4007.00  0.9975 3.09E-06 3.10E-06                                                              2.520E-03
 4008.00  0.9956 3.09E-06 3.10E-06                                                              4.418E-03
 4009.00  0.9826 3.05E-06 3.10E-06                                                              1.757E-02
 4010.00  0.9975 3.10E-06 3.11E-06                                                              2.507E-03
 4011.00  0.9975 3.10E-06 3.11E-06                                                              2.506E-03
 4012.00  0.9977 3.10E-06 3.11E-06                                                              2.307E-03
 4013.00  0.9915 3.08E-06 3.11E-06                                                              8.502E-03
 4014.00  0.9977 3.12E-06 3.12E-06                                                              2.274E-03
 4015.00  0.9976 3.12E-06 3.12E-06                                                              2.412E-03
 4016.00  0.9980 3.12E-06 3.12E-06                                                              1.961E-03
 4017.00  0.9978 3.12E-06 3.13E-06                                                              2.204E-03
 4018.00  0.9976 3.11E-06 3.12E-06                                                              2.359E-03
 4019.00  0.9854 3.04E-06 3.08E-06                                                              1.466E-02
 4020.00  0.9978 3.06E-06 3.07E-06                                                              2.190E-03
 4021.00  0.9975 3.06E-06 3.07E-06                                                              2.522E-03
 4022.00  0.9986 3.07E-06 3.07E-06                                                              1.387E-03
 4023.00  0.9985 3.07E-06 3.08E-06                                                              1.521E-03
 4024.00  0.9973 3.11E-06 3.12E-06                                                              2.716E-03
 4025.00  0.9826 3.07E-06 3.12E-06                                                              1.758E-02
 4026.00  0.9946 3.07E-06 3.09E-06                                                              5.426E-03
 4027.00  0.9958 3.07E-06 3.08E-06                                                              4.210E-03
 4028.00  0.9944 3.06E-06 3.07E-06                                                              5.593E-03
 4029.00  0.9932 3.03E-06 3.05E-06                                                              6.784E-03
 4030.00  0.9888 3.02E-06 3.05E-06                                                              1.126E-02
 4031.00  0.9875 3.04E-06 3.08E-06                                                              1.257E-02
 4032.00  0.9962 3.06E-06 3.07E-06                                                              3.837E-03
 4033.00  0.9989 3.08E-06 3.08E-06                                                              1.052E-03
 4034.00  0.9995 3.11E-06 3.11E-06                                                              5.078E-04
 4035.00  0.9994 3.13E-06 3.13E-06                                                              5.801E-04
 4036.00  0.9996 3.14E-06 3.15E-06                                                              4.167E-04
 4037.00  0.9998 3.16E-06 3.17E-06                                                              2.461E-04
 4038.00  0.9997 3.17E-06 3.17E-06                                                              3.402E-04
 4039.00  0.9997 3.17E-06 3.17E-06                                                              3.033E-04
 4040.00  0.9996 3.16E-06 3.16E-06                                                              4.442E-04
 4041.00  0.9995 3.14E-06 3.14E-06                                                              4.833E-04
 4042.00  0.9997 3.14E-06 3.14E-06                                                              2.618E-04
 4043.00  0.9997 3.14E-06 3.14E-06                                                              3.256E-04
 4044.00  0.9956 3.13E-06 3.14E-06                                                              4.417E-03
 4045.00  0.9842 3.09E-06 3.14E-06                                                              1.592E-02
 4046.00  0.9996 3.13E-06 3.13E-06                                                              3.722E-04
 4047.00  0.9997 3.12E-06 3.12E-06                                                              2.908E-04
 4048.00  0.9996 3.12E-06 3.12E-06                                                              3.646E-04
 4049.00  0.9993 3.12E-06 3.12E-06                                                              6.516E-04
 4050.00  0.9989 3.12E-06 3.13E-06                                                              1.082E-03
 4051.00  0.9992 3.15E-06 3.16E-06                                                              8.172E-04
 4052.00  0.9987 3.17E-06 3.17E-06                                                              1.295E-03
 4053.00  0.9998 3.18E-06 3.18E-06                                                              2.178E-04
 4054.00  0.9998 3.17E-06 3.18E-06                                                              2.153E-04
 4055.00  0.9997 3.17E-06 3.17E-06                                                              3.195E-04
 4056.00  0.9997 3.18E-06 3.18E-06                                                              2.919E-04
 4057.00  0.9996 3.18E-06 3.18E-06                                                              3.762E-04
 4058.00  0.9992 3.18E-06 3.18E-06                                                              8.019E-04
 4059.00  0.9993 3.18E-06 3.19E-06                                                              7.211E-04
 4060.00  0.9970 3.18E-06 3.19E-06                                                              2.995E-03
 4061.00  0.9972 3.18E-06 3.19E-06                                                              2.799E-03
 4062.00  0.9993 3.18E-06 3.18E-06                                                              6.540E-04
 4063.00  0.9994 3.19E-06 3.19E-06                                                              5.575E-04
 4064.00  0.9997 3.19E-06 3.19E-06                                                              2.810E-04
