T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   3.00000 100.00000  45.00000 136.18993   0.85283   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    3985.0   33345.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 3985.00  0.2065 6.30E-07 3.05E-06                                                              1.577E+00
 3986.00  0.2478 7.58E-07 3.06E-06                                                              1.395E+00
 3987.00  0.6149 1.88E-06 3.06E-06                                                              4.863E-01
 3988.00  0.6292 1.94E-06 3.08E-06                                                              4.633E-01
 3989.00  0.4492 1.39E-06 3.09E-06                                                              8.004E-01
 3990.00  0.0711 2.20E-07 3.09E-06                                                              2.644E+00
 3991.00  0.0575 1.78E-07 3.10E-06                                                              2.857E+00
 3992.00  0.3669 1.14E-06 3.10E-06                                                              1.003E+00
 3993.00  0.2505 7.76E-07 3.10E-06                                                              1.384E+00
 3994.00  0.2787 8.64E-07 3.10E-06                                                              1.278E+00
 3995.00  0.0035 1.09E-08 3.10E-06                                                              5.656E+00
 3996.00  0.2973 9.24E-07 3.11E-06                                                              1.213E+00
 3997.00  0.4661 1.45E-06 3.11E-06                                                              7.634E-01
 3998.00  0.6612 2.06E-06 3.11E-06                                                              4.137E-01
 3999.00  0.5626 1.75E-06 3.11E-06                                                              5.752E-01
 4000.00  0.5667 1.76E-06 3.11E-06                                                              5.679E-01
 4001.00  0.3990 1.24E-06 3.10E-06                                                              9.187E-01
 4002.00  0.7045 2.19E-06 3.10E-06                                                              3.503E-01
 4003.00  0.4596 1.43E-06 3.10E-06                                                              7.773E-01
 4004.00  0.5206 1.61E-06 3.09E-06                                                              6.527E-01
 4005.00  0.3909 1.21E-06 3.10E-06                                                              9.393E-01
 4006.00  0.5640 1.75E-06 3.10E-06                                                              5.726E-01
 4007.00  0.3605 1.12E-06 3.10E-06                                                              1.020E+00
 4008.00  0.0002 6.53E-10 3.10E-06                                                              8.466E+00
 4009.00  0.0353 1.10E-07 3.10E-06                                                              3.343E+00
 4010.00  0.3536 1.10E-06 3.11E-06                                                              1.040E+00
 4011.00  0.3067 9.54E-07 3.11E-06                                                              1.182E+00
 4012.00  0.2850 8.86E-07 3.11E-06                                                              1.255E+00
 4013.00  0.1590 4.95E-07 3.11E-06                                                              1.839E+00
 4014.00  0.4343 1.36E-06 3.12E-06                                                              8.340E-01
 4015.00  0.3875 1.21E-06 3.12E-06                                                              9.481E-01
 4016.00  0.6024 1.88E-06 3.12E-06                                                              5.068E-01
 4017.00  0.2928 9.15E-07 3.13E-06                                                              1.228E+00
 4018.00  0.3750 1.17E-06 3.12E-06                                                              9.807E-01
 4019.00  0.0364 1.12E-07 3.08E-06                                                              3.314E+00
 4020.00  0.0917 2.81E-07 3.07E-06                                                              2.389E+00
 4021.00  0.2287 7.01E-07 3.07E-06                                                              1.475E+00
 4022.00  0.5452 1.67E-06 3.07E-06                                                              6.066E-01
 4023.00  0.6728 2.07E-06 3.08E-06                                                              3.962E-01
 4024.00  0.4659 1.45E-06 3.12E-06                                                              7.637E-01
 4025.00  0.0433 1.35E-07 3.12E-06                                                              3.139E+00
 4026.00  0.1603 4.95E-07 3.09E-06                                                              1.831E+00
 4027.00  0.4703 1.45E-06 3.08E-06                                                              7.544E-01
 4028.00  0.6225 1.91E-06 3.07E-06                                                              4.740E-01
 4029.00  0.5152 1.57E-06 3.05E-06                                                              6.633E-01
 4030.00  0.1566 4.78E-07 3.05E-06                                                              1.854E+00
 4031.00  0.2531 7.79E-07 3.08E-06                                                              1.374E+00
 4032.00  0.4687 1.44E-06 3.07E-06                                                              7.577E-01
 4033.00  0.5356 1.65E-06 3.08E-06                                                              6.244E-01
 4034.00  0.6461 2.01E-06 3.11E-06                                                              4.368E-01
 4035.00  0.6049 1.89E-06 3.13E-06                                                              5.027E-01
 4036.00  0.6310 1.99E-06 3.15E-06                                                              4.604E-01
 4037.00  0.7753 2.45E-06 3.17E-06                                                              2.545E-01
 4038.00  0.8617 2.73E-06 3.17E-06                                                              1.488E-01
 4039.00  0.7164 2.27E-06 3.17E-06                                                              3.336E-01
 4040.00  0.6227 1.97E-06 3.16E-06                                                              4.737E-01
 4041.00  0.7996 2.51E-06 3.14E-06                                                              2.236E-01
 4042.00  0.7426 2.33E-06 3.14E-06                                                              2.976E-01
 4043.00  0.3789 1.19E-06 3.14E-06                                                              9.705E-01
 4044.00  0.0296 9.28E-08 3.14E-06                                                              3.521E+00
 4045.00  0.0044 1.37E-08 3.14E-06                                                              5.433E+00
 4046.00  0.3991 1.25E-06 3.13E-06                                                              9.185E-01
 4047.00  0.7192 2.25E-06 3.12E-06                                                              3.296E-01
 4048.00  0.7845 2.45E-06 3.12E-06                                                              2.428E-01
 4049.00  0.8497 2.65E-06 3.12E-06                                                              1.629E-01
 4050.00  0.8099 2.53E-06 3.13E-06                                                              2.109E-01
 4051.00  0.7330 2.31E-06 3.16E-06                                                              3.106E-01
 4052.00  0.3816 1.21E-06 3.17E-06                                                              9.634E-01
 4053.00  0.8058 2.56E-06 3.18E-06                                                              2.159E-01
 4054.00  0.8806 2.80E-06 3.18E-06                                                              1.271E-01
 4055.00  0.8208 2.60E-06 3.17E-06                                                              1.975E-01
 4056.00  0.9089 2.89E-06 3.18E-06                                                              9.552E-02
 4057.00  0.8425 2.68E-06 3.18E-06                                                              1.714E-01
 4058.00  0.5587 1.78E-06 3.18E-06                                                              5.821E-01
 4059.00  0.7632 2.43E-06 3.19E-06                                                              2.702E-01
 4060.00  0.2447 7.80E-07 3.19E-06                                                              1.408E+00
 4061.00  0.2876 9.16E-07 3.19E-06                                                              1.246E+00
 4062.00  0.7725 2.46E-06 3.18E-06                                                              2.582E-01
 4063.00  0.8420 2.69E-06 3.19E-06                                                              1.720E-01
 4064.00  0.9186 2.93E-06 3.19E-06                                                              8.488E-02
