T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000 100.00000  20.00000 101.00075   0.30590   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    3985.0   33345.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 3985.00  0.6169 1.88E-06 3.05E-06                                                              4.831E-01
 3986.00  0.6603 2.02E-06 3.06E-06                                                              4.150E-01
 3987.00  0.9144 2.80E-06 3.06E-06                                                              8.944E-02
 3988.00  0.9184 2.83E-06 3.08E-06                                                              8.514E-02
 3989.00  0.8324 2.57E-06 3.09E-06                                                              1.834E-01
 3990.00  0.4793 1.48E-06 3.09E-06                                                              7.355E-01
 3991.00  0.3738 1.16E-06 3.10E-06                                                              9.841E-01
 3992.00  0.8367 2.59E-06 3.10E-06                                                              1.783E-01
 3993.00  0.6469 2.00E-06 3.10E-06                                                              4.355E-01
 3994.00  0.7724 2.39E-06 3.10E-06                                                              2.583E-01
 3995.00  0.1648 5.11E-07 3.10E-06                                                              1.803E+00
 3996.00  0.7764 2.41E-06 3.11E-06                                                              2.531E-01
 3997.00  0.8304 2.58E-06 3.11E-06                                                              1.859E-01
 3998.00  0.9244 2.88E-06 3.11E-06                                                              7.862E-02
 3999.00  0.8705 2.71E-06 3.11E-06                                                              1.387E-01
 4000.00  0.8651 2.69E-06 3.11E-06                                                              1.449E-01
 4001.00  0.7685 2.39E-06 3.10E-06                                                              2.633E-01
 4002.00  0.9366 2.91E-06 3.10E-06                                                              6.554E-02
 4003.00  0.8058 2.50E-06 3.10E-06                                                              2.159E-01
 4004.00  0.8372 2.59E-06 3.09E-06                                                              1.777E-01
 4005.00  0.7538 2.33E-06 3.10E-06                                                              2.827E-01
 4006.00  0.9019 2.79E-06 3.10E-06                                                              1.032E-01
 4007.00  0.7935 2.46E-06 3.10E-06                                                              2.313E-01
 4008.00  0.1108 3.44E-07 3.10E-06                                                              2.200E+00
 4009.00  0.3173 9.84E-07 3.10E-06                                                              1.148E+00
 4010.00  0.8144 2.53E-06 3.11E-06                                                              2.053E-01
 4011.00  0.7254 2.26E-06 3.11E-06                                                              3.210E-01
 4012.00  0.7160 2.23E-06 3.11E-06                                                              3.341E-01
 4013.00  0.4618 1.44E-06 3.11E-06                                                              7.726E-01
 4014.00  0.8267 2.58E-06 3.12E-06                                                              1.903E-01
 4015.00  0.7768 2.43E-06 3.12E-06                                                              2.526E-01
 4016.00  0.9106 2.84E-06 3.12E-06                                                              9.367E-02
 4017.00  0.7264 2.27E-06 3.13E-06                                                              3.196E-01
 4018.00  0.8069 2.52E-06 3.12E-06                                                              2.146E-01
 4019.00  0.2892 8.91E-07 3.08E-06                                                              1.241E+00
 4020.00  0.5380 1.65E-06 3.07E-06                                                              6.199E-01
 4021.00  0.6087 1.87E-06 3.07E-06                                                              4.965E-01
 4022.00  0.8820 2.71E-06 3.07E-06                                                              1.256E-01
 4023.00  0.9252 2.85E-06 3.08E-06                                                              7.772E-02
 4024.00  0.8561 2.67E-06 3.12E-06                                                              1.554E-01
 4025.00  0.3023 9.44E-07 3.12E-06                                                              1.196E+00
 4026.00  0.5557 1.72E-06 3.09E-06                                                              5.875E-01
 4027.00  0.8605 2.65E-06 3.08E-06                                                              1.502E-01
 4028.00  0.9145 2.81E-06 3.07E-06                                                              8.934E-02
 4029.00  0.8596 2.62E-06 3.05E-06                                                              1.513E-01
 4030.00  0.4858 1.48E-06 3.05E-06                                                              7.219E-01
 4031.00  0.5876 1.81E-06 3.08E-06                                                              5.317E-01
 4032.00  0.8392 2.58E-06 3.07E-06                                                              1.753E-01
 4033.00  0.8238 2.54E-06 3.08E-06                                                              1.938E-01
 4034.00  0.9256 2.88E-06 3.11E-06                                                              7.731E-02
 4035.00  0.8644 2.71E-06 3.13E-06                                                              1.457E-01
 4036.00  0.8861 2.79E-06 3.15E-06                                                              1.209E-01
 4037.00  0.9510 3.01E-06 3.17E-06                                                              5.028E-02
 4038.00  0.9713 3.08E-06 3.17E-06                                                              2.908E-02
 4039.00  0.9263 2.93E-06 3.17E-06                                                              7.660E-02
 4040.00  0.9011 2.85E-06 3.16E-06                                                              1.041E-01
 4041.00  0.9576 3.01E-06 3.14E-06                                                              4.334E-02
 4042.00  0.9462 2.97E-06 3.14E-06                                                              5.535E-02
 4043.00  0.7963 2.50E-06 3.14E-06                                                              2.278E-01
 4044.00  0.2879 9.04E-07 3.14E-06                                                              1.245E+00
 4045.00  0.1648 5.18E-07 3.14E-06                                                              1.803E+00
 4046.00  0.8253 2.59E-06 3.13E-06                                                              1.920E-01
 4047.00  0.9384 2.93E-06 3.12E-06                                                              6.354E-02
 4048.00  0.9550 2.98E-06 3.12E-06                                                              4.603E-02
 4049.00  0.9671 3.02E-06 3.12E-06                                                              3.343E-02
 4050.00  0.9603 3.00E-06 3.13E-06                                                              4.050E-02
 4051.00  0.9412 2.97E-06 3.16E-06                                                              6.062E-02
 4052.00  0.6974 2.21E-06 3.17E-06                                                              3.604E-01
 4053.00  0.9606 3.05E-06 3.18E-06                                                              4.024E-02
 4054.00  0.9747 3.10E-06 3.18E-06                                                              2.558E-02
 4055.00  0.9615 3.05E-06 3.17E-06                                                              3.924E-02
 4056.00  0.9819 3.12E-06 3.18E-06                                                              1.823E-02
 4057.00  0.9664 3.07E-06 3.18E-06                                                              3.417E-02
 4058.00  0.8210 2.61E-06 3.18E-06                                                              1.972E-01
 4059.00  0.9494 3.02E-06 3.19E-06                                                              5.189E-02
 4060.00  0.6072 1.94E-06 3.19E-06                                                              4.988E-01
 4061.00  0.6404 2.04E-06 3.19E-06                                                              4.456E-01
 4062.00  0.9506 3.03E-06 3.18E-06                                                              5.069E-02
 4063.00  0.9663 3.08E-06 3.19E-06                                                              3.423E-02
 4064.00  0.9838 3.14E-06 3.19E-06                                                              1.633E-02
