"case_id","mode","engine_path","engine_file_version","generated_at_utc","output_kind","output_file","output_sha256"
"SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20","DirectSolarIrradiance","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:00.4656452Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20\MODOUT2.txt","ea3cfe1b518902579918c445c5cf09132e03e69c3063796b7a1287ce99117043"
"SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20","DirectSolarIrradiance","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:00.5182302Z","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20\tape7.scn","6d0496be456ee0bc68358f16dcaf9806712dfbffbba5039ad3d15a5933542e95"
"SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20","DirectSolarIrradiance","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:00.5236962Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza20\MODOUT1.txt","c509faad3cb76e210bb8ed35af5e27599a7632d9e2e56e747a3b17e15ce30f3f"
"SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20","SpectralFlux","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:06.9843156Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20\MODOUT2.txt","e4959f2a6f302aee2c96f1ee4f4d574ebc9ce675a6d89b7d9aa6cd20d1472a3f"
"SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20","SpectralFlux","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:06.9883112Z","specflux","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20\spectral_flux.flx","054bb4a14e96686ca5dceb71045b9dd80c7822519795ae29704433932aaf503d"
"SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20","SpectralFlux","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:06.9965996Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza20\MODOUT1.txt","e858a7187cd30b94ef53c0fa3a5ae0034bc46c7af0f77c4c8ad036a38f9ab3e7"
"SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45","DirectSolarIrradiance","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:07.6644045Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45\MODOUT2.txt","d110299541bddfb980ad26485e0c32e73f471ec6e4055f444473d21d4029d201"
"SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45","DirectSolarIrradiance","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:07.6703724Z","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45\tape7.scn","a2266185d0967ce369335eafe127e1ef3d7433007744fb311007ddd113810e31"
"SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45","DirectSolarIrradiance","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:07.6751623Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_direct_tar3_vis5_aerRural_humdefault_sza45\MODOUT1.txt","432cc1955b903d5098cd9def22bc4d722a2be87128830692b00a6b172c0b0d56"
"SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza45","SpectralFlux","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T23:40:14.2019617Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\l1_solar_heating_20260907\SWHEAT_flux_tar3_vis5_aerRural_humdefault_sza45\MODOUT2.txt","9e5ec2b4b3e79e4081327221b5c7752a3405d46454380c06c9f670e5d453d69d"
