T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   2.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000   3.00000  98.25085  50.00057   0.44477   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.01456   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.64355719 3.7150E-22 0.0000E+00 0.0000E+00 6.0798E-08 6.0798E-08 0.0000E+00 0.0000E+00 6.0798E-08 3.82E-06 6.83E-06   0.441 1.0000 6.9214E-06    792.508
 9101.00 0.67875427 3.3081E-22 0.0000E+00 0.0000E+00 6.1431E-08 6.1431E-08 0.0000E+00 0.0000E+00 6.1431E-08 3.97E-06 6.67E-06   0.387 1.0000 6.7529E-06    793.719
 9111.00 0.72947246 2.6887E-22 0.0000E+00 0.0000E+00 6.4438E-08 6.4438E-08 0.0000E+00 0.0000E+00 6.4438E-08 4.38E-06 6.69E-06   0.315 1.0000 6.7702E-06    796.740
 9121.00 0.72796744 2.5314E-22 0.0000E+00 0.0000E+00 6.4361E-08 6.4361E-08 0.0000E+00 0.0000E+00 6.4361E-08 4.36E-06 6.68E-06   0.317 1.0000 6.7570E-06    797.397
 9131.00 0.71719736 2.5134E-22 0.0000E+00 0.0000E+00 6.3602E-08 6.3602E-08 0.0000E+00 0.0000E+00 6.3602E-08 4.25E-06 6.64E-06   0.332 1.0000 6.7175E-06    797.537
 9141.00 0.76791924 2.0391E-22 0.0000E+00 0.0000E+00 6.3772E-08 6.3772E-08 0.0000E+00 0.0000E+00 6.3772E-08 4.44E-06 6.37E-06   0.264 1.0000 6.4440E-06    798.381
 9151.00 0.72283894 2.1753E-22 0.0000E+00 0.0000E+00 6.5498E-08 6.5498E-08 0.0000E+00 0.0000E+00 6.5498E-08 4.41E-06 6.77E-06   0.325 1.0000 6.8615E-06    800.392
 9161.00 0.81368160 1.4842E-22 0.0000E+00 0.0000E+00 7.1433E-08 7.1433E-08 0.0000E+00 0.0000E+00 7.1433E-08 5.15E-06 6.85E-06   0.206 1.0000 6.9345E-06    805.353
 9171.00 0.75560975 1.7650E-22 0.0000E+00 0.0000E+00 6.8909E-08 6.8909E-08 0.0000E+00 0.0000E+00 6.8909E-08 4.74E-06 6.90E-06   0.280 1.0000 6.9883E-06    804.304
 9181.00 0.77821273 1.5865E-22 0.0000E+00 0.0000E+00 6.9294E-08 6.9294E-08 0.0000E+00 0.0000E+00 6.9294E-08 4.82E-06 6.79E-06   0.251 1.0000 6.8738E-06    805.293
