T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  10.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  20.00000  20.00000  90.00449   1.00000   0.00896   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00331   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.99978244 2.3681E-30 0.0000E+00 0.0000E+00 1.1100E-10 1.1100E-10 0.0000E+00 0.0000E+00 1.1100E-10 6.90E-06 6.90E-06   0.000 1.0000 6.9214E-06    573.425
 9101.00 0.99978268 2.2220E-30 0.0000E+00 0.0000E+00 1.0865E-10 1.0865E-10 0.0000E+00 0.0000E+00 1.0865E-10 6.73E-06 6.73E-06   0.000 1.0000 6.7529E-06    573.432
 9111.00 0.99978238 2.0904E-30 0.0000E+00 0.0000E+00 1.0928E-10 1.0928E-10 0.0000E+00 0.0000E+00 1.0928E-10 6.75E-06 6.75E-06   0.000 1.0000 6.7702E-06    574.125
 9121.00 0.99978167 1.9717E-30 0.0000E+00 0.0000E+00 1.0941E-10 1.0941E-10 0.0000E+00 0.0000E+00 1.0941E-10 6.74E-06 6.74E-06   0.000 1.0000 6.7570E-06    574.704
 9131.00 0.99978048 1.8622E-30 0.0000E+00 0.0000E+00 1.0912E-10 1.0912E-10 0.0000E+00 0.0000E+00 1.0912E-10 6.70E-06 6.70E-06   0.000 1.0000 6.7175E-06    575.183
 9141.00 0.99978042 1.7500E-30 0.0000E+00 0.0000E+00 1.0501E-10 1.0501E-10 0.0000E+00 0.0000E+00 1.0501E-10 6.42E-06 6.43E-06   0.000 1.0000 6.4440E-06    574.766
 9151.00 0.99977851 1.6583E-30 0.0000E+00 0.0000E+00 1.1217E-10 1.1217E-10 0.0000E+00 0.0000E+00 1.1217E-10 6.84E-06 6.84E-06   0.000 1.0000 6.8615E-06    576.974
 9161.00 0.99977899 1.5543E-30 0.0000E+00 0.0000E+00 1.1372E-10 1.1372E-10 0.0000E+00 0.0000E+00 1.1372E-10 6.91E-06 6.91E-06   0.000 1.0000 6.9345E-06    577.870
 9171.00 0.99977773 1.4699E-30 0.0000E+00 0.0000E+00 1.1496E-10 1.1496E-10 0.0000E+00 0.0000E+00 1.1496E-10 6.97E-06 6.97E-06   0.000 1.0000 6.9883E-06    578.692
 9181.00 0.99977720 1.3835E-30 0.0000E+00 0.0000E+00 1.1343E-10 1.1343E-10 0.0000E+00 0.0000E+00 1.1343E-10 6.85E-06 6.85E-06   0.000 1.0000 6.8738E-06    578.900
 9191.00 0.99977666 1.3032E-30 0.0000E+00 0.0000E+00 1.1345E-10 1.1345E-10 0.0000E+00 0.0000E+00 1.1345E-10 6.83E-06 6.83E-06   0.000 1.0000 6.8531E-06    579.452
 9201.00 0.99977529 1.2319E-30 0.0000E+00 0.0000E+00 1.1259E-10 1.1259E-10 0.0000E+00 0.0000E+00 1.1259E-10 6.76E-06 6.76E-06   0.000 1.0000 6.7792E-06    579.806
 9211.00 0.99977446 1.1621E-30 0.0000E+00 0.0000E+00 1.1708E-10 1.1708E-10 0.0000E+00 0.0000E+00 1.1708E-10 7.00E-06 7.01E-06   0.000 1.0000 7.0277E-06    581.349
 9221.00 0.99977386 1.0940E-30 0.0000E+00 0.0000E+00 1.1647E-10 1.1647E-10 0.0000E+00 0.0000E+00 1.1647E-10 6.95E-06 6.95E-06   0.000 1.0000 6.9689E-06    581.764
 9231.00 0.99977285 1.0326E-30 0.0000E+00 0.0000E+00 1.1392E-10 1.1392E-10 0.0000E+00 0.0000E+00 1.1392E-10 6.77E-06 6.77E-06   0.000 1.0000 6.7955E-06    581.748
 9241.00 0.99977201 9.7354E-31 0.0000E+00 0.0000E+00 1.1410E-10 1.1410E-10 0.0000E+00 0.0000E+00 1.1410E-10 6.76E-06 6.76E-06   0.000 1.0000 6.7842E-06    582.334
 9251.00 0.99977082 9.1968E-31 0.0000E+00 0.0000E+00 1.1642E-10 1.1642E-10 0.0000E+00 0.0000E+00 1.1642E-10 6.88E-06 6.88E-06   0.000 1.0000 6.9007E-06    583.396
 9261.00 0.99976963 8.6837E-31 0.0000E+00 0.0000E+00 1.1837E-10 1.1837E-10 0.0000E+00 0.0000E+00 1.1837E-10 6.97E-06 6.97E-06   0.000 1.0000 6.9947E-06    584.369
 9271.00 0.99976850 8.2003E-31 0.0000E+00 0.0000E+00 1.1673E-10 1.1673E-10 0.0000E+00 0.0000E+00 1.1673E-10 6.85E-06 6.86E-06   0.000 1.0000 6.8762E-06    584.560
 9281.00 0.99976689 7.7625E-31 0.0000E+00 0.0000E+00 1.1976E-10 1.1976E-10 0.0000E+00 0.0000E+00 1.1976E-10 7.01E-06 7.01E-06   0.000 1.0000 7.0330E-06    585.766
 9291.00 0.99976510 7.3442E-31 0.0000E+00 0.0000E+00 1.1981E-10 1.1981E-10 0.0000E+00 0.0000E+00 1.1981E-10 6.99E-06 6.99E-06   0.000 1.0000 7.0135E-06    586.323
 9301.00 0.99976301 6.9631E-31 0.0000E+00 0.0000E+00 1.1761E-10 1.1761E-10 0.0000E+00 0.0000E+00 1.1761E-10 6.84E-06 6.84E-06   0.000 1.0000 6.8637E-06    586.396
 9311.00 0.99976039 6.6109E-31 0.0000E+00 0.0000E+00 1.2006E-10 1.2006E-10 0.0000E+00 0.0000E+00 1.2006E-10 6.96E-06 6.96E-06   0.000 1.0000 6.9849E-06    587.474
 9321.00 0.99975723 6.2902E-31 0.0000E+00 0.0000E+00 1.1873E-10 1.1873E-10 0.0000E+00 0.0000E+00 1.1873E-10 6.86E-06 6.86E-06   0.000 1.0000 6.8861E-06    587.734
 9331.00 0.99975348 6.0040E-31 0.0000E+00 0.0000E+00 1.2124E-10 1.2124E-10 0.0000E+00 0.0000E+00 1.2124E-10 6.99E-06 6.99E-06   0.000 1.0000 7.0103E-06    588.822
 9341.00 0.99974978 5.7238E-31 0.0000E+00 0.0000E+00 1.2107E-10 1.2107E-10 0.0000E+00 0.0000E+00 1.2107E-10 6.95E-06 6.96E-06   0.000 1.0000 6.9794E-06    589.335
 9351.00 0.99974477 5.4840E-31 0.0000E+00 0.0000E+00 1.1668E-10 1.1668E-10 0.0000E+00 0.0000E+00 1.1668E-10 6.68E-06 6.68E-06   0.000 1.0000 6.7060E-06    588.928
