T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000 100.00000  20.00000  90.37706   0.27369   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    9080.0   14300.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 9080.00  0.9978 6.90E-06 6.91E-06                                                              2.178E-03
 9081.00  0.9978 6.93E-06 6.94E-06                                                              2.202E-03
 9082.00  0.9977 6.91E-06 6.92E-06                                                              2.284E-03
 9083.00  0.9978 6.92E-06 6.93E-06                                                              2.246E-03
 9084.00  0.9978 6.89E-06 6.90E-06                                                              2.178E-03
 9085.00  0.9978 6.88E-06 6.90E-06                                                              2.199E-03
 9086.00  0.9978 6.89E-06 6.90E-06                                                              2.244E-03
 9087.00  0.9978 6.92E-06 6.93E-06                                                              2.188E-03
 9088.00  0.9978 6.90E-06 6.91E-06                                                              2.181E-03
 9089.00  0.9978 6.91E-06 6.92E-06                                                              2.203E-03
 9090.00  0.9978 6.90E-06 6.92E-06                                                              2.186E-03
 9091.00  0.9977 6.90E-06 6.91E-06                                                              2.261E-03
 9092.00  0.9978 6.90E-06 6.91E-06                                                              2.209E-03
 9093.00  0.9976 6.92E-06 6.94E-06                                                              2.416E-03
 9094.00  0.9978 6.92E-06 6.94E-06                                                              2.189E-03
 9095.00  0.9978 6.94E-06 6.96E-06                                                              2.215E-03
 9096.00  0.9978 6.95E-06 6.97E-06                                                              2.200E-03
 9097.00  0.9978 6.92E-06 6.93E-06                                                              2.188E-03
 9098.00  0.9978 6.89E-06 6.91E-06                                                              2.219E-03
 9099.00  0.9978 6.84E-06 6.85E-06                                                              2.204E-03
 9100.00  0.9977 6.79E-06 6.81E-06                                                              2.259E-03
 9101.00  0.9978 6.68E-06 6.69E-06                                                              2.205E-03
 9102.00  0.9978 6.65E-06 6.67E-06                                                              2.193E-03
 9103.00  0.9978 6.54E-06 6.56E-06                                                              2.218E-03
 9104.00  0.9978 6.48E-06 6.50E-06                                                              2.196E-03
 9105.00  0.9978 6.49E-06 6.51E-06                                                              2.197E-03
 9106.00  0.9978 6.61E-06 6.62E-06                                                              2.218E-03
 9107.00  0.9978 6.67E-06 6.68E-06                                                              2.221E-03
 9108.00  0.9977 6.77E-06 6.78E-06                                                              2.267E-03
 9109.00  0.9978 6.90E-06 6.91E-06                                                              2.218E-03
 9110.00  0.9978 6.92E-06 6.93E-06                                                              2.206E-03
 9111.00  0.9978 6.87E-06 6.89E-06                                                              2.249E-03
 9112.00  0.9978 6.86E-06 6.88E-06                                                              2.203E-03
 9113.00  0.9978 6.86E-06 6.88E-06                                                              2.204E-03
 9114.00  0.9978 6.81E-06 6.83E-06                                                              2.209E-03
 9115.00  0.9978 6.65E-06 6.66E-06                                                              2.205E-03
 9116.00  0.9978 6.62E-06 6.63E-06                                                              2.206E-03
 9117.00  0.9978 6.60E-06 6.62E-06                                                              2.207E-03
 9118.00  0.9978 6.61E-06 6.62E-06                                                              2.208E-03
 9119.00  0.9978 6.68E-06 6.69E-06                                                              2.210E-03
 9120.00  0.9978 6.85E-06 6.87E-06                                                              2.218E-03
 9121.00  0.9978 6.90E-06 6.91E-06                                                              2.212E-03
 9122.00  0.9977 6.79E-06 6.81E-06                                                              2.258E-03
 9123.00  0.9978 6.79E-06 6.81E-06                                                              2.219E-03
 9124.00  0.9977 6.77E-06 6.78E-06                                                              2.266E-03
 9125.00  0.9977 6.67E-06 6.68E-06                                                              2.296E-03
 9126.00  0.9978 6.64E-06 6.65E-06                                                              2.237E-03
 9127.00  0.9978 6.75E-06 6.76E-06                                                              2.215E-03
 9128.00  0.9978 6.75E-06 6.77E-06                                                              2.222E-03
 9129.00  0.9978 6.74E-06 6.75E-06                                                              2.222E-03
 9130.00  0.9978 6.80E-06 6.82E-06                                                              2.222E-03
 9131.00  0.9978 6.83E-06 6.84E-06                                                              2.231E-03
 9132.00  0.9978 6.81E-06 6.83E-06                                                              2.232E-03
 9133.00  0.9977 6.78E-06 6.80E-06                                                              2.327E-03
 9134.00  0.9978 6.76E-06 6.77E-06                                                              2.227E-03
 9135.00  0.9978 6.71E-06 6.73E-06                                                              2.242E-03
 9136.00  0.9978 6.61E-06 6.62E-06                                                              2.239E-03
 9137.00  0.9978 6.43E-06 6.45E-06                                                              2.226E-03
 9138.00  0.9978 6.19E-06 6.20E-06                                                              2.233E-03
 9139.00  0.9978 6.06E-06 6.07E-06                                                              2.229E-03
 9140.00  0.9978 6.03E-06 6.04E-06                                                              2.230E-03
 9141.00  0.9978 6.08E-06 6.10E-06                                                              2.232E-03
 9142.00  0.9978 6.24E-06 6.25E-06                                                              2.250E-03
 9143.00  0.9978 6.49E-06 6.50E-06                                                              2.231E-03
 9144.00  0.9978 6.64E-06 6.66E-06                                                              2.235E-03
 9145.00  0.9978 6.72E-06 6.73E-06                                                              2.231E-03
 9146.00  0.9978 6.76E-06 6.78E-06                                                              2.252E-03
 9147.00  0.9978 6.79E-06 6.80E-06                                                              2.232E-03
 9148.00  0.9978 6.79E-06 6.81E-06                                                              2.234E-03
 9149.00  0.9978 6.82E-06 6.83E-06                                                              2.238E-03
 9150.00  0.9977 6.85E-06 6.87E-06                                                              2.259E-03
 9151.00  0.9977 6.89E-06 6.90E-06                                                              2.319E-03
 9152.00  0.9978 6.92E-06 6.93E-06                                                              2.242E-03
 9153.00  0.9976 6.96E-06 6.98E-06                                                              2.428E-03
 9154.00  0.9978 6.96E-06 6.98E-06                                                              2.241E-03
 9155.00  0.9978 6.97E-06 6.99E-06                                                              2.242E-03
 9156.00  0.9978 6.96E-06 6.97E-06                                                              2.240E-03
 9157.00  0.9978 6.85E-06 6.87E-06                                                              2.244E-03
 9158.00  0.9978 6.81E-06 6.82E-06                                                              2.241E-03
 9159.00  0.9978 6.81E-06 6.83E-06                                                              2.245E-03
