T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000 100.00000  45.00000 119.43391   0.74779   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    9080.0   14300.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 9080.00  0.9971 6.89E-06 6.91E-06                                                              2.892E-03
 9081.00  0.9971 6.92E-06 6.94E-06                                                              2.923E-03
 9082.00  0.9970 6.90E-06 6.92E-06                                                              3.033E-03
 9083.00  0.9970 6.91E-06 6.93E-06                                                              2.982E-03
 9084.00  0.9971 6.88E-06 6.90E-06                                                              2.892E-03
 9085.00  0.9971 6.88E-06 6.90E-06                                                              2.920E-03
 9086.00  0.9970 6.88E-06 6.90E-06                                                              2.980E-03
 9087.00  0.9971 6.91E-06 6.93E-06                                                              2.906E-03
 9088.00  0.9971 6.89E-06 6.91E-06                                                              2.896E-03
 9089.00  0.9971 6.90E-06 6.92E-06                                                              2.925E-03
 9090.00  0.9971 6.90E-06 6.92E-06                                                              2.903E-03
 9091.00  0.9970 6.89E-06 6.91E-06                                                              3.002E-03
 9092.00  0.9971 6.89E-06 6.91E-06                                                              2.934E-03
 9093.00  0.9968 6.92E-06 6.94E-06                                                              3.208E-03
 9094.00  0.9971 6.92E-06 6.94E-06                                                              2.907E-03
 9095.00  0.9971 6.94E-06 6.96E-06                                                              2.941E-03
 9096.00  0.9971 6.95E-06 6.97E-06                                                              2.922E-03
 9097.00  0.9971 6.91E-06 6.93E-06                                                              2.905E-03
 9098.00  0.9971 6.89E-06 6.91E-06                                                              2.947E-03
 9099.00  0.9971 6.83E-06 6.85E-06                                                              2.926E-03
 9100.00  0.9970 6.79E-06 6.81E-06                                                              2.999E-03
 9101.00  0.9971 6.67E-06 6.69E-06                                                              2.928E-03
 9102.00  0.9971 6.65E-06 6.67E-06                                                              2.912E-03
 9103.00  0.9971 6.54E-06 6.56E-06                                                              2.945E-03
 9104.00  0.9971 6.48E-06 6.50E-06                                                              2.916E-03
 9105.00  0.9971 6.49E-06 6.51E-06                                                              2.918E-03
 9106.00  0.9971 6.60E-06 6.62E-06                                                              2.946E-03
 9107.00  0.9971 6.66E-06 6.68E-06                                                              2.950E-03
 9108.00  0.9970 6.76E-06 6.78E-06                                                              3.010E-03
 9109.00  0.9971 6.89E-06 6.91E-06                                                              2.945E-03
 9110.00  0.9971 6.91E-06 6.93E-06                                                              2.929E-03
 9111.00  0.9970 6.87E-06 6.89E-06                                                              2.986E-03
 9112.00  0.9971 6.86E-06 6.88E-06                                                              2.925E-03
 9113.00  0.9971 6.86E-06 6.88E-06                                                              2.926E-03
 9114.00  0.9971 6.81E-06 6.83E-06                                                              2.933E-03
 9115.00  0.9971 6.64E-06 6.66E-06                                                              2.928E-03
 9116.00  0.9971 6.61E-06 6.63E-06                                                              2.929E-03
 9117.00  0.9971 6.60E-06 6.62E-06                                                              2.930E-03
 9118.00  0.9971 6.60E-06 6.62E-06                                                              2.932E-03
 9119.00  0.9971 6.67E-06 6.69E-06                                                              2.935E-03
 9120.00  0.9971 6.85E-06 6.87E-06                                                              2.946E-03
 9121.00  0.9971 6.89E-06 6.91E-06                                                              2.938E-03
 9122.00  0.9970 6.79E-06 6.81E-06                                                              2.998E-03
 9123.00  0.9971 6.79E-06 6.81E-06                                                              2.946E-03
 9124.00  0.9970 6.76E-06 6.78E-06                                                              3.009E-03
 9125.00  0.9970 6.66E-06 6.68E-06                                                              3.049E-03
 9126.00  0.9970 6.63E-06 6.65E-06                                                              2.970E-03
 9127.00  0.9971 6.74E-06 6.76E-06                                                              2.942E-03
 9128.00  0.9971 6.75E-06 6.77E-06                                                              2.950E-03
 9129.00  0.9971 6.73E-06 6.75E-06                                                              2.951E-03
 9130.00  0.9971 6.80E-06 6.82E-06                                                              2.950E-03
 9131.00  0.9970 6.82E-06 6.84E-06                                                              2.963E-03
 9132.00  0.9970 6.81E-06 6.83E-06                                                              2.963E-03
 9133.00  0.9969 6.78E-06 6.80E-06                                                              3.089E-03
 9134.00  0.9970 6.75E-06 6.77E-06                                                              2.957E-03
 9135.00  0.9970 6.71E-06 6.73E-06                                                              2.977E-03
 9136.00  0.9970 6.60E-06 6.62E-06                                                              2.974E-03
 9137.00  0.9970 6.43E-06 6.45E-06                                                              2.955E-03
 9138.00  0.9970 6.18E-06 6.20E-06                                                              2.965E-03
 9139.00  0.9970 6.05E-06 6.07E-06                                                              2.960E-03
 9140.00  0.9970 6.03E-06 6.04E-06                                                              2.961E-03
 9141.00  0.9970 6.08E-06 6.10E-06                                                              2.964E-03
 9142.00  0.9970 6.24E-06 6.25E-06                                                              2.988E-03
 9143.00  0.9970 6.48E-06 6.50E-06                                                              2.963E-03
 9144.00  0.9970 6.64E-06 6.66E-06                                                              2.967E-03
 9145.00  0.9970 6.71E-06 6.73E-06                                                              2.962E-03
 9146.00  0.9970 6.76E-06 6.78E-06                                                              2.990E-03
 9147.00  0.9970 6.78E-06 6.80E-06                                                              2.964E-03
 9148.00  0.9970 6.79E-06 6.81E-06                                                              2.967E-03
 9149.00  0.9970 6.81E-06 6.83E-06                                                              2.971E-03
 9150.00  0.9970 6.85E-06 6.87E-06                                                              3.000E-03
 9151.00  0.9969 6.88E-06 6.90E-06                                                              3.080E-03
 9152.00  0.9970 6.91E-06 6.93E-06                                                              2.977E-03
 9153.00  0.9968 6.95E-06 6.98E-06                                                              3.224E-03
 9154.00  0.9970 6.96E-06 6.98E-06                                                              2.976E-03
 9155.00  0.9970 6.96E-06 6.99E-06                                                              2.977E-03
 9156.00  0.9970 6.95E-06 6.97E-06                                                              2.975E-03
 9157.00  0.9970 6.85E-06 6.87E-06                                                              2.979E-03
 9158.00  0.9970 6.80E-06 6.82E-06                                                              2.976E-03
 9159.00  0.9970 6.81E-06 6.83E-06                                                              2.982E-03
