T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000 100.00000  70.00000 237.35774   1.97529   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    9080.0   14300.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 9080.00  0.9941 6.87E-06 6.91E-06                                                              5.943E-03
 9081.00  0.9940 6.90E-06 6.94E-06                                                              6.008E-03
 9082.00  0.9938 6.88E-06 6.92E-06                                                              6.233E-03
 9083.00  0.9939 6.89E-06 6.93E-06                                                              6.128E-03
 9084.00  0.9941 6.86E-06 6.90E-06                                                              5.944E-03
 9085.00  0.9940 6.86E-06 6.90E-06                                                              6.002E-03
 9086.00  0.9939 6.86E-06 6.90E-06                                                              6.124E-03
 9087.00  0.9940 6.89E-06 6.93E-06                                                              5.972E-03
 9088.00  0.9941 6.87E-06 6.91E-06                                                              5.952E-03
 9089.00  0.9940 6.88E-06 6.92E-06                                                              6.012E-03
 9090.00  0.9941 6.88E-06 6.92E-06                                                              5.966E-03
 9091.00  0.9938 6.87E-06 6.91E-06                                                              6.170E-03
 9092.00  0.9940 6.87E-06 6.91E-06                                                              6.029E-03
 9093.00  0.9934 6.89E-06 6.94E-06                                                              6.592E-03
 9094.00  0.9940 6.90E-06 6.94E-06                                                              5.974E-03
 9095.00  0.9940 6.92E-06 6.96E-06                                                              6.044E-03
 9096.00  0.9940 6.93E-06 6.97E-06                                                              6.004E-03
 9097.00  0.9940 6.89E-06 6.93E-06                                                              5.970E-03
 9098.00  0.9940 6.87E-06 6.91E-06                                                              6.056E-03
 9099.00  0.9940 6.81E-06 6.85E-06                                                              6.014E-03
 9100.00  0.9939 6.77E-06 6.81E-06                                                              6.164E-03
 9101.00  0.9940 6.65E-06 6.69E-06                                                              6.018E-03
 9102.00  0.9940 6.63E-06 6.67E-06                                                              5.985E-03
 9103.00  0.9940 6.52E-06 6.56E-06                                                              6.052E-03
 9104.00  0.9940 6.46E-06 6.50E-06                                                              5.993E-03
 9105.00  0.9940 6.47E-06 6.51E-06                                                              5.997E-03
 9106.00  0.9940 6.58E-06 6.62E-06                                                              6.054E-03
 9107.00  0.9940 6.64E-06 6.68E-06                                                              6.062E-03
 9108.00  0.9938 6.74E-06 6.78E-06                                                              6.186E-03
 9109.00  0.9940 6.87E-06 6.91E-06                                                              6.053E-03
 9110.00  0.9940 6.89E-06 6.93E-06                                                              6.019E-03
 9111.00  0.9939 6.85E-06 6.89E-06                                                              6.138E-03
 9112.00  0.9940 6.84E-06 6.88E-06                                                              6.012E-03
 9113.00  0.9940 6.84E-06 6.88E-06                                                              6.014E-03
 9114.00  0.9940 6.79E-06 6.83E-06                                                              6.027E-03
 9115.00  0.9940 6.62E-06 6.66E-06                                                              6.019E-03
 9116.00  0.9940 6.59E-06 6.63E-06                                                              6.021E-03
 9117.00  0.9940 6.58E-06 6.62E-06                                                              6.023E-03
 9118.00  0.9940 6.58E-06 6.62E-06                                                              6.026E-03
 9119.00  0.9940 6.65E-06 6.69E-06                                                              6.032E-03
 9120.00  0.9940 6.83E-06 6.87E-06                                                              6.054E-03
 9121.00  0.9940 6.87E-06 6.91E-06                                                              6.038E-03
 9122.00  0.9939 6.76E-06 6.81E-06                                                              6.162E-03
 9123.00  0.9940 6.76E-06 6.81E-06                                                              6.055E-03
 9124.00  0.9938 6.74E-06 6.78E-06                                                              6.183E-03
 9125.00  0.9938 6.64E-06 6.68E-06                                                              6.266E-03
 9126.00  0.9939 6.61E-06 6.65E-06                                                              6.104E-03
 9127.00  0.9940 6.72E-06 6.76E-06                                                              6.046E-03
 9128.00  0.9940 6.73E-06 6.77E-06                                                              6.063E-03
 9129.00  0.9940 6.71E-06 6.75E-06                                                              6.064E-03
 9130.00  0.9940 6.77E-06 6.82E-06                                                              6.063E-03
 9131.00  0.9939 6.80E-06 6.84E-06                                                              6.090E-03
 9132.00  0.9939 6.79E-06 6.83E-06                                                              6.090E-03
 9133.00  0.9937 6.76E-06 6.80E-06                                                              6.349E-03
 9134.00  0.9939 6.73E-06 6.77E-06                                                              6.077E-03
 9135.00  0.9939 6.69E-06 6.73E-06                                                              6.118E-03
 9136.00  0.9939 6.58E-06 6.62E-06                                                              6.112E-03
 9137.00  0.9939 6.41E-06 6.45E-06                                                              6.074E-03
 9138.00  0.9939 6.17E-06 6.20E-06                                                              6.094E-03
 9139.00  0.9939 6.03E-06 6.07E-06                                                              6.083E-03
 9140.00  0.9939 6.01E-06 6.04E-06                                                              6.084E-03
 9141.00  0.9939 6.06E-06 6.10E-06                                                              6.091E-03
 9142.00  0.9939 6.22E-06 6.25E-06                                                              6.140E-03
 9143.00  0.9939 6.46E-06 6.50E-06                                                              6.090E-03
 9144.00  0.9939 6.62E-06 6.66E-06                                                              6.098E-03
 9145.00  0.9939 6.69E-06 6.73E-06                                                              6.088E-03
 9146.00  0.9939 6.74E-06 6.78E-06                                                              6.146E-03
 9147.00  0.9939 6.76E-06 6.80E-06                                                              6.093E-03
 9148.00  0.9939 6.77E-06 6.81E-06                                                              6.097E-03
 9149.00  0.9939 6.79E-06 6.83E-06                                                              6.107E-03
 9150.00  0.9939 6.82E-06 6.87E-06                                                              6.165E-03
 9151.00  0.9937 6.86E-06 6.90E-06                                                              6.329E-03
 9152.00  0.9939 6.89E-06 6.93E-06                                                              6.119E-03
 9153.00  0.9934 6.93E-06 6.98E-06                                                              6.626E-03
 9154.00  0.9939 6.94E-06 6.98E-06                                                              6.117E-03
 9155.00  0.9939 6.94E-06 6.99E-06                                                              6.119E-03
 9156.00  0.9939 6.93E-06 6.97E-06                                                              6.114E-03
 9157.00  0.9939 6.83E-06 6.87E-06                                                              6.123E-03
 9158.00  0.9939 6.78E-06 6.82E-06                                                              6.117E-03
 9159.00  0.9939 6.79E-06 6.83E-06                                                              6.128E-03
