T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   3.00000 100.00000  20.00000 103.12540   0.31234   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    9080.0   14300.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 9080.00  0.9655 6.68E-06 6.91E-06                                                              3.507E-02
 9081.00  0.9309 6.46E-06 6.94E-06                                                              7.158E-02
 9082.00  0.8366 5.79E-06 6.92E-06                                                              1.784E-01
 9083.00  0.8737 6.06E-06 6.93E-06                                                              1.350E-01
 9084.00  0.9710 6.70E-06 6.90E-06                                                              2.942E-02
 9085.00  0.9364 6.46E-06 6.90E-06                                                              6.576E-02
 9086.00  0.8751 6.04E-06 6.90E-06                                                              1.334E-01
 9087.00  0.9483 6.57E-06 6.93E-06                                                              5.312E-02
 9088.00  0.9716 6.72E-06 6.91E-06                                                              2.885E-02
 9089.00  0.9343 6.47E-06 6.92E-06                                                              6.797E-02
 9090.00  0.9631 6.66E-06 6.92E-06                                                              3.760E-02
 9091.00  0.8749 6.05E-06 6.91E-06                                                              1.337E-01
 9092.00  0.9075 6.27E-06 6.91E-06                                                              9.706E-02
 9093.00  0.8032 5.57E-06 6.94E-06                                                              2.191E-01
 9094.00  0.9372 6.50E-06 6.94E-06                                                              6.489E-02
 9095.00  0.9234 6.42E-06 6.96E-06                                                              7.972E-02
 9096.00  0.9425 6.57E-06 6.97E-06                                                              5.926E-02
 9097.00  0.9727 6.75E-06 6.93E-06                                                              2.763E-02
 9098.00  0.9149 6.32E-06 6.91E-06                                                              8.899E-02
 9099.00  0.9481 6.50E-06 6.85E-06                                                              5.325E-02
 9100.00  0.8880 6.05E-06 6.81E-06                                                              1.188E-01
 9101.00  0.9418 6.30E-06 6.69E-06                                                              5.999E-02
 9102.00  0.9697 6.47E-06 6.67E-06                                                              3.075E-02
 9103.00  0.9263 6.08E-06 6.56E-06                                                              7.654E-02
 9104.00  0.9735 6.33E-06 6.50E-06                                                              2.687E-02
 9105.00  0.9736 6.34E-06 6.51E-06                                                              2.679E-02
 9106.00  0.9304 6.16E-06 6.62E-06                                                              7.215E-02
 9107.00  0.9234 6.17E-06 6.68E-06                                                              7.970E-02
 9108.00  0.8533 5.79E-06 6.78E-06                                                              1.586E-01
 9109.00  0.9387 6.49E-06 6.91E-06                                                              6.329E-02
 9110.00  0.9574 6.64E-06 6.93E-06                                                              4.359E-02
 9111.00  0.9106 6.27E-06 6.89E-06                                                              9.362E-02
 9112.00  0.9741 6.70E-06 6.88E-06                                                              2.627E-02
 9113.00  0.9745 6.70E-06 6.88E-06                                                              2.580E-02
 9114.00  0.9645 6.59E-06 6.83E-06                                                              3.616E-02
 9115.00  0.9751 6.49E-06 6.66E-06                                                              2.518E-02
 9116.00  0.9755 6.47E-06 6.63E-06                                                              2.480E-02
 9117.00  0.9755 6.46E-06 6.62E-06                                                              2.485E-02
 9118.00  0.9748 6.46E-06 6.62E-06                                                              2.554E-02
 9119.00  0.9709 6.50E-06 6.69E-06                                                              2.951E-02
 9120.00  0.9565 6.57E-06 6.87E-06                                                              4.445E-02
 9121.00  0.9625 6.65E-06 6.91E-06                                                              3.824E-02
 9122.00  0.8917 6.07E-06 6.81E-06                                                              1.147E-01
 9123.00  0.9591 6.53E-06 6.81E-06                                                              4.181E-02
 9124.00  0.8819 5.98E-06 6.78E-06                                                              1.257E-01
 9125.00  0.8649 5.78E-06 6.68E-06                                                              1.451E-01
 9126.00  0.9314 6.19E-06 6.65E-06                                                              7.110E-02
 9127.00  0.9729 6.58E-06 6.76E-06                                                              2.745E-02
 9128.00  0.9749 6.60E-06 6.77E-06                                                              2.546E-02
 9129.00  0.9662 6.53E-06 6.75E-06                                                              3.439E-02
 9130.00  0.9657 6.58E-06 6.82E-06                                                              3.491E-02
 9131.00  0.9737 6.66E-06 6.84E-06                                                              2.667E-02
 9132.00  0.9601 6.55E-06 6.83E-06                                                              4.071E-02
 9133.00  0.8457 5.75E-06 6.80E-06                                                              1.676E-01
 9134.00  0.9537 6.46E-06 6.77E-06                                                              4.743E-02
 9135.00  0.9288 6.25E-06 6.73E-06                                                              7.385E-02
 9136.00  0.9452 6.26E-06 6.62E-06                                                              5.633E-02
 9137.00  0.9675 6.24E-06 6.45E-06                                                              3.299E-02
 9138.00  0.9603 5.96E-06 6.20E-06                                                              4.056E-02
 9139.00  0.9704 5.89E-06 6.07E-06                                                              3.004E-02
 9140.00  0.9742 5.89E-06 6.04E-06                                                              2.614E-02
 9141.00  0.9750 5.95E-06 6.10E-06                                                              2.527E-02
 9142.00  0.9336 5.84E-06 6.25E-06                                                              6.875E-02
 9143.00  0.9707 6.31E-06 6.50E-06                                                              2.970E-02
 9144.00  0.9747 6.49E-06 6.66E-06                                                              2.560E-02
 9145.00  0.9743 6.56E-06 6.73E-06                                                              2.608E-02
 9146.00  0.9367 6.35E-06 6.78E-06                                                              6.540E-02
 9147.00  0.9741 6.63E-06 6.80E-06                                                              2.623E-02
 9148.00  0.9741 6.63E-06 6.81E-06                                                              2.625E-02
 9149.00  0.9679 6.61E-06 6.83E-06                                                              3.268E-02
 9150.00  0.9241 6.35E-06 6.87E-06                                                              7.889E-02
 9151.00  0.8508 5.87E-06 6.90E-06                                                              1.616E-01
 9152.00  0.9464 6.56E-06 6.93E-06                                                              5.511E-02
 9153.00  0.8345 5.82E-06 6.98E-06                                                              1.809E-01
 9154.00  0.9699 6.77E-06 6.98E-06                                                              3.061E-02
 9155.00  0.9744 6.81E-06 6.99E-06                                                              2.598E-02
 9156.00  0.9753 6.80E-06 6.97E-06                                                              2.501E-02
 9157.00  0.9695 6.66E-06 6.87E-06                                                              3.101E-02
 9158.00  0.9752 6.65E-06 6.82E-06                                                              2.513E-02
 9159.00  0.9713 6.63E-06 6.83E-06                                                              2.915E-02
