T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000 100.00000  45.00000 133.39749   0.83531   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    9080.0   14300.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 9080.00  0.9772 6.76E-06 6.91E-06                                                              2.308E-02
 9081.00  0.9610 6.67E-06 6.94E-06                                                              3.982E-02
 9082.00  0.9133 6.32E-06 6.92E-06                                                              9.069E-02
 9083.00  0.9327 6.46E-06 6.93E-06                                                              6.972E-02
 9084.00  0.9792 6.76E-06 6.90E-06                                                              2.100E-02
 9085.00  0.9637 6.65E-06 6.90E-06                                                              3.693E-02
 9086.00  0.9339 6.45E-06 6.90E-06                                                              6.835E-02
 9087.00  0.9702 6.72E-06 6.93E-06                                                              3.030E-02
 9088.00  0.9794 6.77E-06 6.91E-06                                                              2.079E-02
 9089.00  0.9629 6.66E-06 6.92E-06                                                              3.777E-02
 9090.00  0.9759 6.75E-06 6.92E-06                                                              2.435E-02
 9091.00  0.9312 6.44E-06 6.91E-06                                                              7.123E-02
 9092.00  0.9527 6.59E-06 6.91E-06                                                              4.845E-02
 9093.00  0.8825 6.12E-06 6.94E-06                                                              1.251E-01
 9094.00  0.9662 6.70E-06 6.94E-06                                                              3.436E-02
 9095.00  0.9579 6.67E-06 6.96E-06                                                              4.296E-02
 9096.00  0.9672 6.74E-06 6.97E-06                                                              3.337E-02
 9097.00  0.9798 6.79E-06 6.93E-06                                                              2.041E-02
 9098.00  0.9542 6.59E-06 6.91E-06                                                              4.688E-02
 9099.00  0.9688 6.64E-06 6.85E-06                                                              3.165E-02
 9100.00  0.9386 6.39E-06 6.81E-06                                                              6.333E-02
 9101.00  0.9667 6.47E-06 6.69E-06                                                              3.392E-02
 9102.00  0.9788 6.53E-06 6.67E-06                                                              2.148E-02
 9103.00  0.9597 6.29E-06 6.56E-06                                                              4.109E-02
 9104.00  0.9800 6.37E-06 6.50E-06                                                              2.020E-02
 9105.00  0.9800 6.38E-06 6.51E-06                                                              2.019E-02
 9106.00  0.9617 6.37E-06 6.62E-06                                                              3.902E-02
 9107.00  0.9588 6.41E-06 6.68E-06                                                              4.205E-02
 9108.00  0.9257 6.28E-06 6.78E-06                                                              7.722E-02
 9109.00  0.9651 6.67E-06 6.91E-06                                                              3.554E-02
 9110.00  0.9738 6.75E-06 6.93E-06                                                              2.650E-02
 9111.00  0.9502 6.55E-06 6.89E-06                                                              5.110E-02
 9112.00  0.9801 6.74E-06 6.88E-06                                                              2.007E-02
 9113.00  0.9803 6.74E-06 6.88E-06                                                              1.987E-02
 9114.00  0.9763 6.67E-06 6.83E-06                                                              2.400E-02
 9115.00  0.9805 6.53E-06 6.66E-06                                                              1.972E-02
 9116.00  0.9806 6.51E-06 6.63E-06                                                              1.958E-02
 9117.00  0.9806 6.49E-06 6.62E-06                                                              1.960E-02
 9118.00  0.9803 6.49E-06 6.62E-06                                                              1.987E-02
 9119.00  0.9788 6.55E-06 6.69E-06                                                              2.145E-02
 9120.00  0.9726 6.68E-06 6.87E-06                                                              2.779E-02
 9121.00  0.9759 6.75E-06 6.91E-06                                                              2.441E-02
 9122.00  0.9430 6.42E-06 6.81E-06                                                              5.872E-02
 9123.00  0.9738 6.63E-06 6.81E-06                                                              2.652E-02
 9124.00  0.9384 6.37E-06 6.78E-06                                                              6.355E-02
 9125.00  0.9273 6.20E-06 6.68E-06                                                              7.545E-02
 9126.00  0.9615 6.39E-06 6.65E-06                                                              3.922E-02
 9127.00  0.9797 6.63E-06 6.76E-06                                                              2.052E-02
 9128.00  0.9803 6.63E-06 6.77E-06                                                              1.988E-02
 9129.00  0.9769 6.60E-06 6.75E-06                                                              2.337E-02
 9130.00  0.9769 6.66E-06 6.82E-06                                                              2.336E-02
 9131.00  0.9799 6.71E-06 6.84E-06                                                              2.033E-02
 9132.00  0.9746 6.65E-06 6.83E-06                                                              2.571E-02
 9133.00  0.9169 6.23E-06 6.80E-06                                                              8.679E-02
 9134.00  0.9722 6.59E-06 6.77E-06                                                              2.816E-02
 9135.00  0.9612 6.47E-06 6.73E-06                                                              3.953E-02
 9136.00  0.9674 6.41E-06 6.62E-06                                                              3.312E-02
 9137.00  0.9775 6.30E-06 6.45E-06                                                              2.273E-02
 9138.00  0.9741 6.04E-06 6.20E-06                                                              2.628E-02
 9139.00  0.9785 5.94E-06 6.07E-06                                                              2.177E-02
 9140.00  0.9800 5.92E-06 6.04E-06                                                              2.023E-02
 9141.00  0.9803 5.98E-06 6.10E-06                                                              1.986E-02
 9142.00  0.9631 6.02E-06 6.25E-06                                                              3.755E-02
 9143.00  0.9790 6.37E-06 6.50E-06                                                              2.127E-02
 9144.00  0.9802 6.53E-06 6.66E-06                                                              2.001E-02
 9145.00  0.9801 6.60E-06 6.73E-06                                                              2.014E-02
 9146.00  0.9636 6.53E-06 6.78E-06                                                              3.709E-02
 9147.00  0.9800 6.67E-06 6.80E-06                                                              2.025E-02
 9148.00  0.9799 6.67E-06 6.81E-06                                                              2.026E-02
 9149.00  0.9773 6.68E-06 6.83E-06                                                              2.293E-02
 9150.00  0.9581 6.58E-06 6.87E-06                                                              4.285E-02
 9151.00  0.9231 6.37E-06 6.90E-06                                                              8.004E-02
 9152.00  0.9697 6.72E-06 6.93E-06                                                              3.072E-02
 9153.00  0.8989 6.27E-06 6.98E-06                                                              1.066E-01
 9154.00  0.9784 6.83E-06 6.98E-06                                                              2.187E-02
 9155.00  0.9800 6.85E-06 6.99E-06                                                              2.022E-02
 9156.00  0.9804 6.84E-06 6.97E-06                                                              1.984E-02
 9157.00  0.9779 6.72E-06 6.87E-06                                                              2.233E-02
 9158.00  0.9803 6.69E-06 6.82E-06                                                              1.988E-02
 9159.00  0.9788 6.68E-06 6.83E-06                                                              2.144E-02
