case_id,mode,band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,wavelength_low_um,wavelength_high_um,wavenumber_increment_cm1,fwhm_cm1,response_mode,input_file,input_sha256
NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza20,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,2,3,3,1,20,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza20\NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza20.tp5,df92c0edab177899efedb9624f3fb2c887e67f1b8fa5908ebe465081882e09f3
NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza70,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,2,3,3,1,70,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza70\NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza70.tp5,c8c6d8b7dade5d95345807570ee266c4073fe72c22fe725c90a1223f1b461fc5
NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza20,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,5,3,3,1,20,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza20\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza20.tp5,b26d2b0d9d2604804355d993be8993cc9d8739838132756081b47e90e8d73e25
NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza70,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,5,3,3,1,70,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza70\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza70.tp5,16e23b850414c84d8a9e4d20b907af712a5b7e13d5d4c94beb56528981391200
NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza20,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,10,3,3,1,20,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza20\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza20.tp5,cdb960e2d02610e8bc41fa8c4f9bd932a62b298bc8c0b770dd511cbd13b22a88
NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza70,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,10,3,3,1,70,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza70\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza70.tp5,e69723c13858305e323672d42c1c3da020a55604185337b60114a81a9dea2eeb
NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza20,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,23,3,3,1,20,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza20\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza20.tp5,3984bfed5dafdc7d55e620e575412acb783060d20a207efd372d6ca08eb173a7
NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza70,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,23,3,3,1,70,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza70\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza70.tp5,0d597cfe4f31f8fa7d3203cc677de43ad153ce07d79ed48b4cf683f138cf5347
NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza20,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,50,3,3,1,20,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza20\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza20.tp5,5d46004065437cd5f65cef125e58c71db17e569482faa6d22c47fc0101b7c971
NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza70,RadianceWithScattering,NIR,Mid-Latitude Summer,Rural,default,50,3,3,1,70,0.70,1.10,10,10,RectangularBand,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza70\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza70.tp5,550fc7c620201e65ec9aeb57a0fd8b30ec9ab03725c3cce908952a8b97ae186d
