"case_id","mode","engine_path","engine_file_version","generated_at_utc","output_kind","output_file","output_sha256"
"NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.2848685Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza70\MODOUT2.txt","e93999a6ad3d9a9f1e934ea668ac7dd956c8e66cdac482358b13b01197da62df"
"NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.3382036Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis2_aerRural_humdefault_sza70\MODOUT1.txt","f086952d342019e2036c14b240c11bbb7018e3d98d4b0cb5ddb87b6170114079"
"NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.4551141Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza20\MODOUT2.txt","fb1f6e24fea14518417e36d7dfa5584717698ec21df01ad20b2c1983d231fd74"
"NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.4588165Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza20\MODOUT1.txt","7730d6c3558b69ab89d8e74c6e722d4215cb66c27bf1b6fe841f643b5184f7a2"
"NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.5822541Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza70\MODOUT2.txt","d26c863ad4deaf47acbc2dafb7d18f637d5286d9fa21ae910d151e3642c777de"
"NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.5828204Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis5_aerRural_humdefault_sza70\MODOUT1.txt","5e8dce2e8edbd797408227df503eb6a85a273e0f78264e8cedc259799ad0656d"
"NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.6952827Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza20\MODOUT2.txt","60800e8d8001fea43cb9a69c7df3e093a16dc44de213f178865cf03e80e157c2"
"NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.7054490Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza20\MODOUT1.txt","886030a4f37b7735f620ff3383475eece96035de458b9e3a1bb03464cbd6096e"
"NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.8199658Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza70\MODOUT2.txt","e30df83e969cd6f0fe68a7587b6cbfcbeeda7ba510eb8d4a80d837bf2fe7212f"
"NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.8223560Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis10_aerRural_humdefault_sza70\MODOUT1.txt","edd7ef1186bd2d5a8f2d092d7f98b0e2820a8788575b39c57fb0838eaefb94a9"
"NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.9430596Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza20\MODOUT2.txt","da22767d095230d2ce898b4a58991263539e0bd4e3d933b2224a2aa75814935d"
"NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:55.9458658Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza20\MODOUT1.txt","bfba192ab2efcd63447037a4c9fa0dfa82016b0aef3f855a1b29a996bbbe7d9f"
"NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:56.0542287Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza70\MODOUT2.txt","a48782b8ff922d6538c976d0c1281c85a103f3189cb35b952f6992e88eea6951"
"NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:56.0542287Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis23_aerRural_humdefault_sza70\MODOUT1.txt","4d69317d36263bb191d371040948c9d1455db7c85569e430a235137498a78979"
"NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:56.1769042Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza20\MODOUT2.txt","fe6abd9c619036937fc0dbccc69ae680e3c6b6935690a363e59a1abb49c8879e"
"NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:56.1785577Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza20\MODOUT1.txt","0091f36fa31313eee0b9b89c2fa174c7b1f04ce06cd735964947802f861c3d6e"
"NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:56.3077932Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza70\MODOUT2.txt","1e1d59e9c202f69490bd55e8ff6e5c9e4a30917752d1a7151ef2940bd4565dce"
"NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza70","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:56.3098692Z","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng1_vis50_aerRural_humdefault_sza70\MODOUT1.txt","368ed82121eb055607392bcac6eed92eff0435f18e66514e91a879f88ecb9a69"
"NIR_scattering_obs3_tar3_rng2_vis2_aerRural_humdefault_sza20","RadianceWithScattering","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (executable filename)","2026-09-06T14:48:56.4247645Z","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\m1_nir_mwir_20260906\NIR_scattering_obs3_tar3_rng2_vis2_aerRural_humdefault_sza20\MODOUT2.txt","044cef07ea4326838279bc98e5d2b046ef2eabf8a9238cefeeded181c8a7e200"
