T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000 100.00000  45.00000 126.41669   0.79155   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    1995.0    3335.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 1995.00  0.9964 8.54E-07 8.57E-07                                                              3.654E-03
 1996.00  0.9970 8.60E-07 8.62E-07                                                              3.022E-03
 1997.00  0.9964 8.58E-07 8.61E-07                                                              3.633E-03
 1998.00  0.9955 8.56E-07 8.60E-07                                                              4.463E-03
 1999.00  0.9024 7.80E-07 8.64E-07                                                              1.027E-01
 2000.00  0.9954 8.63E-07 8.67E-07                                                              4.583E-03
 2001.00  0.9967 8.61E-07 8.64E-07                                                              3.290E-03
 2002.00  0.9967 8.59E-07 8.62E-07                                                              3.320E-03
 2003.00  0.9964 8.65E-07 8.69E-07                                                              3.637E-03
 2004.00  0.9951 8.64E-07 8.68E-07                                                              4.892E-03
 2005.00  0.9966 8.64E-07 8.67E-07                                                              3.414E-03
 2006.00  0.9938 8.62E-07 8.68E-07                                                              6.250E-03
 2007.00  0.9938 8.68E-07 8.73E-07                                                              6.179E-03
 2008.00  0.9677 8.45E-07 8.74E-07                                                              3.286E-02
 2009.00  0.9627 8.40E-07 8.72E-07                                                              3.798E-02
 2010.00  0.9926 8.69E-07 8.75E-07                                                              7.385E-03
 2011.00  0.9955 8.69E-07 8.73E-07                                                              4.528E-03
 2012.00  0.9916 8.70E-07 8.77E-07                                                              8.427E-03
 2013.00  0.9950 8.73E-07 8.77E-07                                                              5.008E-03
 2014.00  0.9910 8.69E-07 8.77E-07                                                              9.072E-03
 2015.00  0.9892 8.65E-07 8.75E-07                                                              1.081E-02
 2016.00  0.9893 8.68E-07 8.78E-07                                                              1.077E-02
 2017.00  0.8286 7.28E-07 8.78E-07                                                              1.880E-01
 2018.00  0.9242 8.12E-07 8.79E-07                                                              7.881E-02
 2019.00  0.9335 8.20E-07 8.78E-07                                                              6.880E-02
 2020.00  0.9862 8.69E-07 8.81E-07                                                              1.391E-02
 2021.00  0.9853 8.68E-07 8.81E-07                                                              1.484E-02
 2022.00  0.9943 8.76E-07 8.81E-07                                                              5.708E-03
 2023.00  0.9642 8.48E-07 8.79E-07                                                              3.649E-02
 2024.00  0.9933 8.76E-07 8.82E-07                                                              6.756E-03
 2025.00  0.9853 8.72E-07 8.85E-07                                                              1.479E-02
 2026.00  0.9847 8.74E-07 8.87E-07                                                              1.542E-02
 2027.00  0.9413 8.33E-07 8.85E-07                                                              6.044E-02
 2028.00  0.9858 8.71E-07 8.84E-07                                                              1.433E-02
 2029.00  0.9868 8.77E-07 8.89E-07                                                              1.325E-02
 2030.00  0.9909 8.79E-07 8.88E-07                                                              9.185E-03
 2031.00  0.9855 8.74E-07 8.87E-07                                                              1.456E-02
 2032.00  0.9850 8.73E-07 8.87E-07                                                              1.509E-02
 2033.00  0.9890 8.81E-07 8.91E-07                                                              1.102E-02
 2034.00  0.9813 8.74E-07 8.90E-07                                                              1.888E-02
 2035.00  0.9824 8.74E-07 8.90E-07                                                              1.778E-02
 2036.00  0.9907 8.85E-07 8.93E-07                                                              9.328E-03
 2037.00  0.9288 8.31E-07 8.95E-07                                                              7.391E-02
 2038.00  0.9441 8.47E-07 8.97E-07                                                              5.749E-02
 2039.00  0.9877 8.87E-07 8.98E-07                                                              1.234E-02
 2040.00  0.9588 8.62E-07 8.99E-07                                                              4.204E-02
 2041.00  0.8692 7.80E-07 8.97E-07                                                              1.402E-01
 2042.00  0.9833 8.87E-07 9.02E-07                                                              1.681E-02
 2043.00  0.9395 8.46E-07 9.00E-07                                                              6.239E-02
 2044.00  0.8879 7.98E-07 8.99E-07                                                              1.189E-01
 2045.00  0.9865 8.87E-07 8.99E-07                                                              1.363E-02
 2046.00  0.9105 8.22E-07 9.02E-07                                                              9.372E-02
 2047.00  0.9762 8.81E-07 9.03E-07                                                              2.411E-02
 2048.00  0.9256 8.37E-07 9.04E-07                                                              7.729E-02
 2049.00  0.8768 7.91E-07 9.03E-07                                                              1.315E-01
 2050.00  0.9666 8.72E-07 9.03E-07                                                              3.395E-02
 2051.00  0.9008 8.12E-07 9.02E-07                                                              1.045E-01
 2052.00  0.8548 7.72E-07 9.03E-07                                                              1.569E-01
 2053.00  0.9748 8.79E-07 9.02E-07                                                              2.554E-02
 2054.00  0.8635 7.80E-07 9.03E-07                                                              1.467E-01
 2055.00  0.8366 7.60E-07 9.08E-07                                                              1.784E-01
 2056.00  0.9716 8.86E-07 9.12E-07                                                              2.881E-02
 2057.00  0.8285 7.52E-07 9.08E-07                                                              1.881E-01
 2058.00  0.8234 7.48E-07 9.08E-07                                                              1.943E-01
 2059.00  0.9641 8.82E-07 9.15E-07                                                              3.658E-02
 2060.00  0.7803 7.12E-07 9.13E-07                                                              2.481E-01
 2061.00  0.8163 7.44E-07 9.11E-07                                                              2.030E-01
 2062.00  0.9488 8.67E-07 9.13E-07                                                              5.259E-02
 2063.00  0.7956 7.29E-07 9.16E-07                                                              2.287E-01
 2064.00  0.8280 7.58E-07 9.16E-07                                                              1.888E-01
 2065.00  0.8761 8.04E-07 9.18E-07                                                              1.323E-01
 2066.00  0.7556 6.96E-07 9.21E-07                                                              2.803E-01
 2067.00  0.9385 8.63E-07 9.20E-07                                                              6.351E-02
 2068.00  0.8426 7.77E-07 9.22E-07                                                              1.713E-01
 2069.00  0.7794 7.18E-07 9.21E-07                                                              2.493E-01
 2070.00  0.9091 8.39E-07 9.23E-07                                                              9.531E-02
 2071.00  0.7987 7.33E-07 9.18E-07                                                              2.248E-01
 2072.00  0.8222 7.58E-07 9.22E-07                                                              1.958E-01
 2073.00  0.9043 8.34E-07 9.23E-07                                                              1.006E-01
 2074.00  0.8301 7.68E-07 9.25E-07                                                              1.862E-01
