T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000 100.00000  45.00000 126.41676   0.79155   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    9085.0   14290.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 9085.00  0.9940 6.86E-06 6.90E-06                                                              5.974E-03
 9086.00  0.9930 6.86E-06 6.90E-06                                                              7.065E-03
 9087.00  0.9943 6.89E-06 6.93E-06                                                              5.676E-03
 9088.00  0.9946 6.88E-06 6.91E-06                                                              5.434E-03
 9089.00  0.9940 6.88E-06 6.92E-06                                                              5.997E-03
 9090.00  0.9945 6.88E-06 6.92E-06                                                              5.540E-03
 9091.00  0.9927 6.86E-06 6.91E-06                                                              7.348E-03
 9092.00  0.9938 6.87E-06 6.91E-06                                                              6.202E-03
 9093.00  0.9892 6.86E-06 6.94E-06                                                              1.082E-02
 9094.00  0.9943 6.90E-06 6.94E-06                                                              5.741E-03
 9095.00  0.9938 6.91E-06 6.96E-06                                                              6.212E-03
 9096.00  0.9942 6.93E-06 6.97E-06                                                              5.811E-03
 9097.00  0.9946 6.90E-06 6.93E-06                                                              5.444E-03
 9098.00  0.9937 6.86E-06 6.91E-06                                                              6.280E-03
 9099.00  0.9942 6.81E-06 6.85E-06                                                              5.841E-03
 9100.00  0.9929 6.76E-06 6.81E-06                                                              7.116E-03
 9101.00  0.9942 6.65E-06 6.69E-06                                                              5.853E-03
 9102.00  0.9945 6.63E-06 6.67E-06                                                              5.479E-03
 9103.00  0.9939 6.52E-06 6.56E-06                                                              6.098E-03
 9104.00  0.9945 6.46E-06 6.50E-06                                                              5.470E-03
 9105.00  0.9945 6.47E-06 6.51E-06                                                              5.476E-03
 9106.00  0.9940 6.58E-06 6.62E-06                                                              6.028E-03
 9107.00  0.9939 6.64E-06 6.68E-06                                                              6.105E-03
 9108.00  0.9928 6.73E-06 6.78E-06                                                              7.239E-03
 9109.00  0.9940 6.87E-06 6.91E-06                                                              5.973E-03
 9110.00  0.9944 6.89E-06 6.93E-06                                                              5.625E-03
 9111.00  0.9934 6.84E-06 6.89E-06                                                              6.631E-03
 9112.00  0.9945 6.84E-06 6.88E-06                                                              5.490E-03
 9113.00  0.9945 6.84E-06 6.88E-06                                                              5.487E-03
 9114.00  0.9944 6.79E-06 6.83E-06                                                              5.597E-03
 9115.00  0.9945 6.62E-06 6.66E-06                                                              5.491E-03
 9116.00  0.9945 6.60E-06 6.63E-06                                                              5.489E-03
 9117.00  0.9945 6.58E-06 6.62E-06                                                              5.492E-03
 9118.00  0.9945 6.59E-06 6.62E-06                                                              5.501E-03
 9119.00  0.9945 6.65E-06 6.69E-06                                                              5.547E-03
 9120.00  0.9943 6.83E-06 6.87E-06                                                              5.742E-03
 9121.00  0.9944 6.88E-06 6.91E-06                                                              5.600E-03
 9122.00  0.9933 6.76E-06 6.81E-06                                                              6.713E-03
 9123.00  0.9943 6.77E-06 6.81E-06                                                              5.710E-03
 9124.00  0.9931 6.74E-06 6.78E-06                                                              6.900E-03
 9125.00  0.9925 6.63E-06 6.68E-06                                                              7.556E-03
 9126.00  0.9939 6.61E-06 6.65E-06                                                              6.133E-03
 9127.00  0.9945 6.73E-06 6.76E-06                                                              5.529E-03
 9128.00  0.9945 6.73E-06 6.77E-06                                                              5.539E-03
 9129.00  0.9944 6.72E-06 6.75E-06                                                              5.619E-03
 9130.00  0.9944 6.78E-06 6.82E-06                                                              5.606E-03
 9131.00  0.9944 6.81E-06 6.84E-06                                                              5.577E-03
 9132.00  0.9943 6.79E-06 6.83E-06                                                              5.695E-03
 9133.00  0.9919 6.74E-06 6.80E-06                                                              8.113E-03
 9134.00  0.9943 6.74E-06 6.77E-06                                                              5.724E-03
 9135.00  0.9939 6.69E-06 6.73E-06                                                              6.081E-03
 9136.00  0.9940 6.58E-06 6.62E-06                                                              5.978E-03
 9137.00  0.9944 6.41E-06 6.45E-06                                                              5.605E-03
 9138.00  0.9943 6.17E-06 6.20E-06                                                              5.745E-03
 9139.00  0.9944 6.04E-06 6.07E-06                                                              5.605E-03
 9140.00  0.9944 6.01E-06 6.04E-06                                                              5.570E-03
 9141.00  0.9945 6.06E-06 6.10E-06                                                              5.565E-03
 9142.00  0.9940 6.22E-06 6.25E-06                                                              6.046E-03
 9143.00  0.9944 6.47E-06 6.50E-06                                                              5.583E-03
 9144.00  0.9944 6.62E-06 6.66E-06                                                              5.576E-03
 9145.00  0.9945 6.69E-06 6.73E-06                                                              5.565E-03
 9146.00  0.9939 6.74E-06 6.78E-06                                                              6.117E-03
 9147.00  0.9944 6.77E-06 6.80E-06                                                              5.574E-03
 9148.00  0.9944 6.77E-06 6.81E-06                                                              5.579E-03
 9149.00  0.9944 6.79E-06 6.83E-06                                                              5.665E-03
 9150.00  0.9938 6.82E-06 6.87E-06                                                              6.216E-03
 9151.00  0.9924 6.85E-06 6.90E-06                                                              7.661E-03
 9152.00  0.9942 6.89E-06 6.93E-06                                                              5.806E-03
 9153.00  0.9900 6.91E-06 6.98E-06                                                              1.003E-02
 9154.00  0.9944 6.94E-06 6.98E-06                                                              5.628E-03
 9155.00  0.9944 6.95E-06 6.99E-06                                                              5.603E-03
 9156.00  0.9944 6.93E-06 6.97E-06                                                              5.588E-03
 9157.00  0.9944 6.83E-06 6.87E-06                                                              5.661E-03
 9158.00  0.9944 6.78E-06 6.82E-06                                                              5.590E-03
 9159.00  0.9944 6.79E-06 6.83E-06                                                              5.633E-03
 9160.00  0.9944 6.79E-06 6.83E-06                                                              5.593E-03
 9161.00  0.9944 6.81E-06 6.85E-06                                                              5.598E-03
 9162.00  0.9944 6.92E-06 6.96E-06                                                              5.607E-03
 9163.00  0.9944 6.98E-06 7.02E-06                                                              5.623E-03
 9164.00  0.9943 6.99E-06 7.03E-06                                                              5.690E-03
