!RawMaterials
Name,Category,Evaporation (Y/N),Solar Absorptivity,Thermal Emissivity,Characteristic length (m),Specific Heat (w-sec/gm/K),Conductivity (w/m/K),Density (kg/m**3),Transmissivity,Roughness
BM_AIR,Insulation,1,0.0400,0.0400,0.0000,1.0057,0.0262,1.1774,0.9500,-1.0000
BM_ASH,Soil,0,0.1700,0.6000,0.0000,1.6000,0.0700,640.0000,0.0000,0.6000
BM_ASH-VOLCANIC,Soil,0,0.5000,0.6000,0.0000,0.3500,0.8000,1200.0000,0.0000,0.6000
BM_ASPHALT,Construction,-1,0.8000,0.9300,0.0000,0.9000,0.7500,2000.0000,0.0000,0.9000
BM_BRICK,Construction,-1,0.7500,0.9300,0.0000,0.8400,0.6900,1600.0000,0.0000,0.9000
BM_CEMENT,Construction,-1,0.5000,0.9000,0.0000,0.8000,1.7300,1500.0000,0.0000,0.8500
BM_CLAY,Soil,0,0.4000,0.9500,0.0000,0.9200,1.3000,1000.0000,0.0000,0.8500
BM_COAL,Soil,0,0.9500,0.8500,0.0000,1.0000,0.1700,1400.0000,0.0000,0.3500
BM_COKE,Soil,0,0.9500,0.9500,0.0000,0.8400,0.0500,240.0000,0.0000,0.9500
BM_CONCRETE,Construction,0,0.6700,0.8500,0.0000,0.8800,1.7300,2400.0000,0.0000,0.9500
BM_DRYWALL,Construction,0,0.1000,0.9000,0.0000,0.9000,0.8300,2290.0000,0.0000,0.7000
BM_EARTHEN,Construction,-1,0.7500,0.9300,0.0000,0.8400,0.6900,1600.0000,0.0000,0.9500
BM_FABRIC,Fabric,1,0.1000,0.7700,0.0000,1.8800,0.4200,150.0000,0.0000,0.8000
BM_FIBERBOARD,Construction,0,0.6500,0.9000,0.0000,1.0000,0.5000,1234.0000,0.0000,0.5000
BM_FIBERGLASS,Insulation,-1,0.0200,0.7500,0.0000,0.8000,0.0400,64.0000,0.0000,0.3000
BM_FOLIAGE,Vegetation,0,0.1300,0.9600,0.0000,2.5000,0.5000,60.0000,0.0000,0.7500
BM_FOLIAGE-DECIDUOUS,Vegetation,-1,0.1000,0.9500,0.0000,2.6400,0.5440,55.0000,0.0000,0.7500
BM_FOLIAGE-NEEDLES,Vegetation,-1,0.1500,0.9800,0.0000,2.5500,0.4500,65.0000,0.0000,0.7500
BM_GLASS,Window,-1,0.2400,0.9300,0.0000,0.8400,0.7800,2600.0000,0.4900,0.0250
BM_GLASSWOOL,Insulation,-1,0.0200,0.1000,0.0000,0.7000,0.0380,24.0000,0.0000,0.7000
BM_ICE,Rock,1,0.4000,0.9200,0.0000,2.0400,2.3000,920.0000,0.3000,0.1000
BM_LAND-DRY_GRASS,Vegetation,-1,0.4000,0.9600,0.0000,2.6400,0.4500,65.0000,0.3000,0.9000
